Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,9.20,9.20,9.20,9.20,400,9.20
2015-09-03,9.19,9.20,9.19,9.20,2100,9.20
2015-09-02,9.25,9.35,9.10,9.10,1200,9.10
2015-09-01,9.20,9.35,9.19,9.20,2700,9.20
2015-08-31,9.20,9.20,9.20,9.20,2100,9.20
2015-08-28,9.20,9.20,9.04,9.05,1700,9.05
2015-08-27,9.07,9.07,9.07,9.07,000,9.07
2015-08-26,9.07,9.07,9.07,9.07,200,9.07
2015-08-25,9.08,9.35,9.08,9.35,1000,9.35
2015-08-24,9.16,9.41,9.16,9.41,600,9.41
2015-08-21,9.08,9.08,9.08,9.08,500,9.08
2015-08-20,9.06,9.06,9.06,9.06,000,9.06
2015-08-19,9.20,9.20,9.06,9.06,700,9.06
2015-08-18,9.19,9.48,9.19,9.48,1000,9.419999
2015-08-17,9.20,9.20,9.15,9.15,1300,9.092088
2015-08-14,9.19,9.19,9.19,9.19,100,9.131835
2015-08-13,9.19,9.19,9.11,9.12,800,9.062278
2015-08-12,9.11,9.11,9.11,9.11,000,9.052341
2015-08-11,9.19,9.19,9.11,9.11,300,9.052341
2015-08-10,9.11,9.16,9.11,9.16,400,9.102025
2015-08-07,9.20,9.20,9.11,9.14,5100,9.082152
2015-08-06,9.20,9.20,9.15,9.15,600,9.092088
2015-08-05,9.20,9.20,9.20,9.20,2100,9.141772
2015-08-04,9.15,9.15,9.15,9.15,200,9.092088
2015-08-03,9.15,9.15,9.10,9.10,500,9.042405
2015-07-31,9.12,9.15,9.12,9.15,5200,9.092088
2015-07-30,9.02,9.07,9.00,9.07,600,9.012595
2015-07-29,8.93,8.99,8.93,8.99,700,8.933101
2015-07-28,8.94,8.99,8.93,8.96,1000,8.903291
2015-07-27,9.02,9.02,9.02,9.02,100,8.962912
2015-07-24,9.13,9.13,9.13,9.13,000,9.072215
2015-07-23,9.13,9.13,9.13,9.13,000,9.072215
2015-07-22,9.13,9.13,9.13,9.13,100,9.072215
2015-07-21,8.90,9.15,8.90,9.14,11500,9.082152
2015-07-20,9.05,9.15,9.05,9.15,2800,9.092088
2015-07-17,9.10,9.30,9.05,9.05,6700,8.992722
2015-07-16,9.10,9.10,9.10,9.10,000,9.042405
2015-07-15,9.15,9.24,9.05,9.10,17300,9.042405
2015-07-14,9.05,9.05,9.05,9.05,000,8.992722
2015-07-13,9.12,9.21,9.05,9.05,1900,8.992722
2015-07-10,9.12,9.12,9.12,9.12,000,9.062278
2015-07-09,9.12,9.12,9.12,9.12,000,9.062278
2015-07-08,9.12,9.25,9.12,9.12,800,9.062278
2015-07-07,9.16,9.30,9.16,9.30,900,9.241139
2015-07-06,9.12,9.12,9.12,9.12,400,9.062278
2015-07-02,9.12,9.12,9.12,9.12,400,9.062278
2015-07-01,9.14,9.14,9.14,9.14,000,9.082152
2015-06-30,9.14,9.14,9.14,9.14,000,9.082152
2015-06-29,9.14,9.14,9.14,9.14,000,9.082152
2015-06-26,9.12,9.14,9.12,9.14,3700,9.082152
2015-06-25,9.20,9.30,9.20,9.30,4000,9.241139
2015-06-24,9.12,9.12,9.12,9.12,000,9.062278
2015-06-23,9.10,9.17,9.10,9.12,1600,9.062278
2015-06-22,9.10,9.10,9.07,9.07,800,9.012595
2015-06-19,9.30,9.30,9.30,9.30,100,9.241139
2015-06-18,9.09,9.09,9.09,9.09,000,9.032468
2015-06-17,9.09,9.09,9.09,9.09,100,9.032468
2015-06-16,9.30,9.30,9.25,9.25,400,9.191456
2015-06-15,9.05,9.05,9.05,9.05,000,8.992722
2015-06-12,9.05,9.05,9.05,9.05,000,8.992722
2015-06-11,9.05,9.05,9.05,9.05,100,8.992722
2015-06-10,9.25,9.25,9.25,9.25,2100,9.191456
2015-06-09,9.23,9.23,9.23,9.23,000,9.171582
2015-06-08,9.23,9.23,9.23,9.23,300,9.171582
2015-06-05,8.99,8.99,8.99,8.99,000,8.933101
2015-06-04,8.99,8.99,8.99,8.99,000,8.933101
2015-06-03,8.99,8.99,8.99,8.99,1000,8.933101
2015-06-02,9.04,9.22,9.04,9.10,3600,9.042405
2015-06-01,9.05,9.05,9.05,9.05,600,8.992722
2015-05-29,9.23,9.23,9.11,9.11,2300,9.052341
2015-05-28,8.92,8.92,8.92,8.92,000,8.863544
2015-05-27,8.90,9.08,8.90,8.92,1200,8.863544
2015-05-26,9.08,9.08,9.08,9.08,300,9.022532
2015-05-22,9.07,9.07,9.07,9.07,000,9.012595
2015-05-21,9.07,9.07,8.91,9.07,4600,9.012595
2015-05-20,9.04,9.04,8.96,8.96,200,8.903291
2015-05-19,9.00,9.00,9.00,9.00,000,8.883418
2015-05-18,9.05,9.07,9.00,9.00,4000,8.883418
2015-05-15,9.00,9.05,9.00,9.05,3700,8.93277
2015-05-14,8.94,9.02,8.94,9.00,9000,8.883418
2015-05-13,8.84,8.85,8.84,8.85,2500,8.735361
2015-05-12,8.92,8.92,8.92,8.92,000,8.804454
2015-05-11,8.99,8.99,8.82,8.92,1300,8.804454
2015-05-08,8.70,8.70,8.65,8.65,2600,8.537951
2015-05-07,8.75,8.75,8.66,8.66,11000,8.547822
2015-05-06,8.82,8.82,8.82,8.82,100,8.705749
2015-05-05,8.75,8.75,8.75,8.75,700,8.636656
2015-05-04,8.75,8.75,8.75,8.75,000,8.636656
2015-05-01,8.75,8.75,8.75,8.75,000,8.636656
2015-04-30,8.75,8.75,8.75,8.75,200,8.636656
2015-04-29,8.78,8.78,8.75,8.78,2200,8.666267
2015-04-28,8.62,8.77,8.62,8.77,800,8.656398
2015-04-27,8.99,8.99,8.62,8.62,2200,8.50834
2015-04-24,8.60,8.85,8.60,8.80,7600,8.686009
2015-04-23,8.62,8.62,8.62,8.62,800,8.50834
2015-04-22,8.54,8.54,8.54,8.54,100,8.429376
2015-04-21,8.53,8.53,8.53,8.53,000,8.419506
2015-04-20,8.94,8.94,8.51,8.53,1100,8.419506
2015-04-17,8.50,8.57,8.50,8.57,200,8.458988
2015-04-16,8.60,8.60,8.50,8.60,5500,8.4886
2015-04-15,8.65,8.65,8.50,8.55,4000,8.439247
2015-04-14,8.93,8.93,8.65,8.65,6100,8.537951
2015-04-13,8.77,8.90,8.67,8.90,5300,8.784713
2015-04-10,8.79,8.79,8.79,8.79,000,8.676138
2015-04-09,8.79,8.79,8.79,8.79,000,8.676138
2015-04-08,8.79,8.79,8.79,8.79,000,8.676138
2015-04-07,9.00,9.00,8.79,8.79,700,8.676138
2015-04-06,8.85,9.00,8.75,8.77,1700,8.656398
2015-04-02,8.75,8.75,8.75,8.75,000,8.636656
2015-04-01,8.75,8.75,8.75,8.75,000,8.636656
2015-03-31,8.75,8.75,8.75,8.75,000,8.636656
2015-03-30,8.80,8.81,8.75,8.75,1500,8.636656
2015-03-27,8.75,8.78,8.75,8.76,2600,8.646527
2015-03-26,8.73,8.73,8.73,8.73,000,8.616915
2015-03-25,8.73,8.73,8.73,8.73,000,8.616915
2015-03-24,8.73,8.73,8.73,8.73,000,8.616915
2015-03-23,8.73,8.73,8.73,8.73,000,8.616915
2015-03-20,8.95,8.95,8.73,8.73,1300,8.616915
2015-03-19,8.98,9.00,8.98,9.00,200,8.883418
2015-03-18,9.00,9.00,9.00,9.00,000,8.883418
2015-03-17,9.00,9.00,9.00,9.00,000,8.883418
2015-03-16,9.00,9.00,9.00,9.00,000,8.883418
2015-03-13,8.98,9.00,8.98,9.00,400,8.883418
2015-03-12,9.00,9.00,8.98,8.98,300,8.863676
2015-03-11,9.00,9.00,8.96,8.96,500,8.843936
2015-03-10,8.84,8.95,8.84,8.95,1600,8.834065
2015-03-09,8.95,9.00,8.95,9.00,2100,8.883418
2015-03-06,8.76,8.97,8.75,8.97,2300,8.853807
2015-03-05,8.74,8.74,8.74,8.74,000,8.626785
2015-03-04,8.98,8.98,8.70,8.74,1000,8.626785
2015-03-03,9.00,9.00,8.97,8.97,1600,8.853807
2015-03-02,9.00,9.00,9.00,9.00,000,8.883418
2015-02-27,8.97,9.00,8.97,9.00,4800,8.883418
2015-02-26,8.69,8.69,8.69,8.69,300,8.577433
2015-02-25,8.91,8.99,8.91,8.99,3300,8.873547
2015-02-24,8.75,8.90,8.75,8.90,2700,8.784713
2015-02-23,9.00,9.00,8.66,8.68,11500,8.567563
2015-02-20,8.67,8.80,8.67,8.70,1000,8.587304
2015-02-19,8.95,8.95,8.95,8.95,000,8.834065
2015-02-18,8.95,8.95,8.95,8.95,000,8.834065
2015-02-17,8.95,8.95,8.95,8.95,200,8.834065
2015-02-13,8.60,8.60,8.60,8.60,000,8.4886
2015-02-12,8.60,8.60,8.60,8.60,000,8.4886
2015-02-11,8.75,8.75,8.60,8.60,1800,8.4886
2015-02-10,8.81,8.99,8.81,8.99,1700,8.814324
2015-02-09,8.75,8.75,8.75,8.75,500,8.579014
2015-02-06,8.81,8.81,8.55,8.78,1500,8.608428
2015-02-05,8.81,8.82,8.80,8.82,1900,8.647646
2015-02-04,8.79,8.79,8.79,8.79,100,8.618233
2015-02-03,8.78,8.83,8.78,8.82,1100,8.647646
2015-02-02,8.63,9.00,8.55,8.75,19400,8.579014
2015-01-30,8.70,8.83,8.55,8.83,2700,8.657451
2015-01-29,8.62,8.84,8.50,8.67,4000,8.500578
2015-01-28,8.62,8.75,8.62,8.73,3100,8.559405
2015-01-27,8.69,8.69,8.69,8.69,000,8.520187
2015-01-26,8.69,8.69,8.69,8.69,300,8.520187
2015-01-23,8.78,8.78,8.78,8.78,000,8.608428
2015-01-22,8.71,8.78,8.65,8.78,600,8.608428
2015-01-21,8.75,8.75,8.75,8.75,000,8.579014
2015-01-20,8.70,8.75,8.70,8.75,1300,8.579014
2015-01-16,8.77,8.77,8.77,8.77,100,8.598624
2015-01-15,8.82,8.82,8.65,8.67,900,8.500578
