Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,0.49,0.49,0.45,0.46,18200,0.46
2015-09-03,0.46,0.50,0.45,0.49,75000,0.49
2015-09-02,0.46,0.46,0.45,0.45,12000,0.45
2015-09-01,0.46,0.50,0.45,0.48,11900,0.48
2015-08-31,0.48,0.48,0.46,0.47,28400,0.47
2015-08-28,0.50,0.52,0.46,0.46,52200,0.46
2015-08-27,0.46,0.49,0.46,0.46,4500,0.46
2015-08-26,0.45,0.49,0.45,0.46,43100,0.46
2015-08-25,0.46,0.48,0.45,0.46,40000,0.46
2015-08-24,0.50,0.50,0.46,0.46,97800,0.46
2015-08-21,0.51,0.53,0.50,0.50,34300,0.50
2015-08-20,0.53,0.53,0.50,0.50,16300,0.50
2015-08-19,0.51,0.54,0.50,0.50,19200,0.50
2015-08-18,0.51,0.54,0.50,0.50,37700,0.50
2015-08-17,0.52,0.52,0.50,0.51,4900,0.51
2015-08-14,0.50,0.52,0.50,0.51,10900,0.51
2015-08-13,0.52,0.52,0.50,0.51,15300,0.51
2015-08-12,0.55,0.55,0.50,0.52,136900,0.52
2015-08-11,0.52,0.55,0.52,0.53,59900,0.53
2015-08-10,0.56,0.56,0.52,0.54,56700,0.54
2015-08-07,0.54,0.55,0.52,0.52,37500,0.52
2015-08-06,0.52,0.54,0.52,0.52,46800,0.52
2015-08-05,0.53,0.53,0.52,0.52,27900,0.52
2015-08-04,0.54,0.54,0.53,0.54,13700,0.54
2015-08-03,0.53,0.54,0.53,0.54,11900,0.54
2015-07-31,0.55,0.55,0.52,0.54,16600,0.54
2015-07-30,0.53,0.55,0.52,0.55,13600,0.55
2015-07-29,0.52,0.56,0.51,0.54,42800,0.54
2015-07-28,0.55,0.55,0.51,0.53,32000,0.53
2015-07-27,0.54,0.56,0.51,0.51,33500,0.51
2015-07-24,0.56,0.56,0.54,0.56,25600,0.56
2015-07-23,0.54,0.55,0.53,0.54,33900,0.54
2015-07-22,0.52,0.55,0.51,0.53,34800,0.53
2015-07-21,0.55,0.55,0.52,0.53,25400,0.53
2015-07-20,0.52,0.55,0.51,0.52,68700,0.52
2015-07-17,0.53,0.55,0.53,0.53,15600,0.53
2015-07-16,0.60,0.60,0.52,0.53,286700,0.53
2015-07-15,0.60,0.62,0.59,0.59,47200,0.59
2015-07-14,0.63,0.63,0.60,0.61,78400,0.61
2015-07-13,0.53,0.64,0.51,0.60,429000,0.60
2015-07-10,0.53,0.56,0.53,0.53,47900,0.53
2015-07-09,0.56,0.56,0.52,0.54,77700,0.54
2015-07-08,0.53,0.57,0.50,0.50,78800,0.50
2015-07-07,0.60,0.63,0.52,0.53,152700,0.53
2015-07-06,0.52,0.58,0.51,0.57,63000,0.57
2015-07-02,0.55,0.55,0.50,0.51,48700,0.51
2015-07-01,0.50,0.56,0.50,0.53,52300,0.53
2015-06-30,0.52,0.52,0.51,0.52,28300,0.52
2015-06-29,0.50,0.53,0.50,0.51,20800,0.51
2015-06-26,0.52,0.55,0.49,0.50,129700,0.50
2015-06-25,0.55,0.58,0.52,0.52,95400,0.52
2015-06-24,0.56,0.58,0.56,0.56,43600,0.56
2015-06-23,0.55,0.56,0.55,0.56,44900,0.56
2015-06-22,0.56,0.56,0.55,0.55,22100,0.55
2015-06-19,0.54,0.56,0.54,0.54,23900,0.54
2015-06-18,0.60,0.60,0.54,0.55,32200,0.55
2015-06-17,0.65,0.65,0.54,0.57,367100,0.57
2015-06-16,0.60,0.62,0.54,0.61,522400,0.61
2015-06-15,0.52,0.54,0.49,0.49,121900,0.49
2015-06-12,0.53,0.57,0.50,0.51,124600,0.51
2015-06-11,0.56,0.57,0.53,0.53,101200,0.53
2015-06-10,0.56,0.58,0.55,0.55,84100,0.55
2015-06-09,0.58,0.60,0.56,0.57,18800,0.57
2015-06-08,0.58,0.60,0.56,0.57,79100,0.57
2015-06-05,0.58,0.58,0.56,0.57,46900,0.57
2015-06-04,0.60,0.62,0.56,0.58,175400,0.58
2015-06-03,0.59,0.63,0.59,0.59,206500,0.59
2015-06-02,0.70,0.71,0.56,0.59,499300,0.59
2015-06-01,0.72,0.73,0.67,0.67,83900,0.67
2015-05-29,0.71,0.73,0.67,0.71,80900,0.71
2015-05-28,0.70,0.72,0.67,0.71,65600,0.71
2015-05-27,0.67,0.73,0.66,0.66,96100,0.66
2015-05-26,0.66,0.75,0.66,0.70,111000,0.70
2015-05-22,0.72,0.75,0.65,0.69,404300,0.69
2015-05-21,0.79,0.79,0.73,0.73,156100,0.73
2015-05-20,0.84,0.85,0.74,0.79,375000,0.79
2015-05-19,0.79,0.85,0.71,0.82,364100,0.82
2015-05-18,0.66,0.85,0.66,0.81,1673200,0.81
2015-05-15,0.65,0.67,0.63,0.65,230900,0.65
2015-05-14,0.65,0.68,0.62,0.63,126500,0.63
2015-05-13,0.65,0.65,0.61,0.62,52300,0.62
2015-05-12,0.60,0.67,0.58,0.64,89900,0.64
2015-05-11,0.58,0.61,0.58,0.60,93100,0.60
2015-05-08,0.58,0.59,0.58,0.58,22300,0.58
2015-05-07,0.56,0.60,0.56,0.60,48600,0.60
2015-05-06,0.60,0.60,0.56,0.57,49600,0.57
2015-05-05,0.56,0.58,0.56,0.57,58300,0.57
2015-05-04,0.56,0.58,0.56,0.56,22700,0.56
2015-05-01,0.57,0.58,0.56,0.56,133700,0.56
2015-04-30,0.56,0.59,0.56,0.56,64100,0.56
2015-04-29,0.57,0.59,0.56,0.57,122800,0.57
2015-04-28,0.57,0.60,0.56,0.57,20400,0.57
2015-04-27,0.59,0.61,0.56,0.58,54500,0.58
2015-04-24,0.59,0.61,0.59,0.60,48000,0.60
2015-04-23,0.62,0.63,0.59,0.59,117400,0.59
2015-04-22,0.60,0.62,0.58,0.58,65400,0.58
2015-04-21,0.63,0.66,0.58,0.59,237100,0.59
2015-04-20,0.58,0.68,0.58,0.66,495400,0.66
2015-04-17,0.56,0.64,0.56,0.60,285700,0.60
2015-04-16,0.56,0.59,0.56,0.58,130800,0.58
2015-04-15,0.58,0.59,0.56,0.56,102400,0.56
2015-04-14,0.58,0.58,0.55,0.58,93700,0.58
2015-04-13,0.60,0.60,0.55,0.57,72800,0.57
2015-04-10,0.57,0.62,0.55,0.58,88900,0.58
2015-04-09,0.58,0.58,0.54,0.57,179200,0.57
2015-04-08,0.52,0.70,0.52,0.59,1189200,0.59
2015-04-07,0.49,0.49,0.48,0.48,28300,0.48
2015-04-06,0.48,0.49,0.47,0.49,63900,0.49
2015-04-02,0.49,0.49,0.45,0.48,13800,0.48
2015-04-01,0.48,0.49,0.45,0.47,24000,0.47
2015-03-31,0.48,0.50,0.45,0.48,34300,0.48
2015-03-30,0.48,0.50,0.45,0.49,54100,0.49
2015-03-27,0.45,0.50,0.45,0.47,49800,0.47
2015-03-26,0.50,0.50,0.45,0.45,23100,0.45
2015-03-25,0.47,0.51,0.45,0.47,45600,0.47
2015-03-24,0.47,0.51,0.46,0.49,63800,0.49
2015-03-23,0.46,0.51,0.46,0.48,20400,0.48
2015-03-20,0.50,0.55,0.46,0.49,325600,0.49
2015-03-19,0.48,0.50,0.45,0.49,91400,0.49
2015-03-18,0.43,0.49,0.42,0.49,135900,0.49
2015-03-17,0.45,0.46,0.41,0.41,44500,0.41
2015-03-16,0.43,0.48,0.43,0.44,166000,0.44
2015-03-13,0.54,0.54,0.45,0.46,287700,0.46
2015-03-12,0.54,0.56,0.52,0.52,43500,0.52
2015-03-11,0.60,0.61,0.51,0.52,304200,0.52
2015-03-10,0.63,0.63,0.57,0.58,333000,0.58
2015-03-09,0.59,0.63,0.58,0.62,244400,0.62
2015-03-06,0.57,0.60,0.56,0.58,153700,0.58
2015-03-05,0.56,0.60,0.53,0.56,109800,0.56
2015-03-04,0.57,0.57,0.54,0.54,35700,0.54
2015-03-03,0.53,0.56,0.52,0.55,49700,0.55
2015-03-02,0.55,0.58,0.51,0.53,65100,0.53
2015-02-27,0.55,0.57,0.51,0.51,140500,0.51
2015-02-26,0.54,0.58,0.52,0.54,90400,0.54
2015-02-25,0.52,0.55,0.51,0.55,58200,0.55
2015-02-24,0.50,0.55,0.50,0.52,35200,0.52
2015-02-23,0.54,0.56,0.50,0.50,119100,0.50
2015-02-20,0.53,0.59,0.53,0.53,620300,0.53
2015-02-19,0.51,0.53,0.50,0.52,46600,0.52
2015-02-18,0.53,0.53,0.50,0.53,106800,0.53
2015-02-17,0.49,0.53,0.49,0.52,78600,0.52
2015-02-13,0.53,0.53,0.49,0.50,132900,0.50
2015-02-12,0.51,0.53,0.50,0.52,165000,0.52
2015-02-11,0.48,0.53,0.45,0.50,551600,0.50
2015-02-10,0.45,0.48,0.44,0.48,128500,0.48
2015-02-09,0.41,0.48,0.41,0.47,191700,0.47
2015-02-06,0.42,0.42,0.40,0.42,97200,0.42
2015-02-05,0.41,0.44,0.40,0.42,244800,0.42
2015-02-04,0.45,0.48,0.39,0.42,186400,0.42
2015-02-03,0.40,0.55,0.39,0.49,530900,0.49
2015-02-02,0.43,0.44,0.39,0.41,127500,0.41
2015-01-30,0.43,0.43,0.40,0.43,210000,0.43
2015-01-29,0.44,0.47,0.39,0.44,206500,0.44
2015-01-28,0.49,0.49,0.43,0.47,129600,0.47
2015-01-27,0.49,0.49,0.47,0.48,53100,0.48
2015-01-26,0.50,0.50,0.45,0.49,66600,0.49
2015-01-23,0.50,0.51,0.45,0.48,212600,0.48
2015-01-22,0.53,0.54,0.46,0.48,425800,0.48
2015-01-21,0.52,0.54,0.48,0.50,147500,0.50
2015-01-20,0.59,0.59,0.48,0.53,312700,0.53
2015-01-16,0.59,0.59,0.57,0.57,38300,0.57
2015-01-15,0.60,0.62,0.56,0.59,120000,0.59
2015-01-14,0.61,0.63,0.56,0.59,281400,0.59
2015-01-13,0.62,0.65,0.58,0.61,215400,0.61
2015-01-12,0.62,0.67,0.59,0.65,447100,0.65
2015-01-09,0.58,0.62,0.56,0.60,175500,0.60
2015-01-08,0.60,0.60,0.57,0.59,241100,0.59
2015-01-07,0.62,0.64,0.58,0.60,174500,0.60
2015-01-06,0.69,0.69,0.60,0.61,338400,0.61
2015-01-05,0.64,0.69,0.61,0.65,370700,0.65
2015-01-02,0.62,0.68,0.61,0.65,421700,0.65
