Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,63.490002,63.810001,63.490002,63.650002,148800,63.650002
2015-09-03,63.75,63.950001,63.540001,63.650002,212000,63.650002
2015-09-02,63.639999,63.810001,63.48,63.700001,231800,63.700001
2015-09-01,63.400002,63.869999,63.400002,63.48,242800,63.48
2015-08-31,63.349998,63.880001,63.349998,63.669998,166200,63.669998
2015-08-28,63.650002,64.010002,63.279999,63.810001,135000,63.810001
2015-08-27,63.82,63.98,63.580002,63.860001,153600,63.860001
2015-08-26,64.00,64.010002,63.48,63.82,253200,63.82
2015-08-25,63.799999,64.150002,63.799999,63.970001,639500,63.970001
2015-08-24,63.91,64.370003,63.709999,63.75,731100,63.75
2015-08-21,64.209999,65.00,64.110001,64.779999,686800,64.779999
2015-08-20,58.130001,58.200001,56.509998,56.529999,51800,56.529999
2015-08-19,58.099998,58.709999,57.77,57.919998,60500,57.919998
2015-08-18,58.48,58.860001,58.16,58.50,54400,58.50
2015-08-17,58.400002,58.93,57.939999,58.48,60300,58.48
2015-08-14,57.810001,58.52,57.810001,58.389999,86300,58.389999
2015-08-13,57.259998,58.490002,57.16,57.630001,43200,57.630001
2015-08-12,57.130001,57.669998,56.52,57.41,39300,57.41
2015-08-11,57.310001,57.93,57.18,57.389999,42700,57.389999
2015-08-10,58.07,58.68,57.029999,57.650002,50300,57.650002
2015-08-07,57.23,57.990002,56.82,57.93,34400,57.93
2015-08-06,57.830002,57.830002,56.439999,57.209999,49100,57.209999
2015-08-05,57.580002,58.68,56.619999,57.619999,39500,57.619999
2015-08-04,57.450001,58.830002,56.860001,57.220001,49600,57.220001
2015-08-03,57.549999,58.049999,55.580002,57.540001,47400,57.540001
2015-07-31,56.200001,58.00,56.200001,57.700001,62300,57.700001
2015-07-30,55.709999,56.77,54.470001,56.169998,104400,56.169998
2015-07-29,54.110001,55.68,54.110001,55.25,69900,55.25
2015-07-28,54.700001,55.189999,53.830002,54.509998,50500,54.509998
2015-07-27,54.310001,55.080002,53.310001,54.560001,38000,54.560001
2015-07-24,54.75,55.189999,54.169998,54.790001,56000,54.790001
2015-07-23,56.09,56.09,54.689999,55.07,50000,55.07
2015-07-22,55.02,55.84,54.950001,55.50,43200,55.50
2015-07-21,55.509998,55.580002,54.490002,54.950001,176500,54.950001
2015-07-20,55.540001,55.779999,54.889999,55.389999,71400,55.389999
2015-07-17,55.23,55.419998,54.59,55.259998,54000,55.259998
2015-07-16,54.32,55.540001,53.32,55.369999,46900,55.369999
2015-07-15,54.299999,54.439999,53.259998,53.720001,98100,53.720001
2015-07-14,54.650002,54.810001,54.34,54.43,33400,54.43
2015-07-13,54.720001,55.830002,54.470001,54.580002,44200,54.580002
2015-07-10,54.32,54.779999,54.299999,54.639999,33800,54.639999
2015-07-09,54.060001,54.799999,53.52,53.84,50800,53.84
2015-07-08,54.34,54.34,53.16,53.459999,40400,53.459999
2015-07-07,54.73,55.029999,53.860001,54.43,79900,54.43
2015-07-06,54.080002,54.869999,53.759998,54.580002,65200,54.580002
2015-07-02,54.139999,55.169998,53.900002,54.369999,67100,54.369999
2015-07-01,54.369999,54.66,53.549999,54.07,66800,54.07
2015-06-30,54.080002,54.68,53.50,53.779999,50900,53.779999
2015-06-29,55.50,56.290001,54.040001,54.169998,66100,54.169998
2015-06-26,54.389999,56.200001,54.09,56.150002,468000,56.150002
2015-06-25,53.93,54.380001,52.060001,54.130001,118900,54.130001
2015-06-24,55.439999,55.50,54.849998,54.990002,73000,54.990002
2015-06-23,55.360001,55.849998,55.080002,55.400002,80000,55.400002
2015-06-22,55.549999,55.970001,55.450001,55.59,52500,55.59
2015-06-19,55.25,55.75,54.75,55.619999,143800,55.619999
2015-06-18,54.290001,55.59,54.290001,55.16,70200,55.16
2015-06-17,55.599998,55.599998,54.470001,54.68,49100,54.68
2015-06-16,54.619999,55.84,54.16,55.48,41800,55.48
2015-06-15,54.400002,55.00,53.66,54.52,68300,54.52
2015-06-12,54.84,54.98,54.029999,54.82,50300,54.82
2015-06-11,54.959999,54.990002,54.009998,54.84,47500,54.84
2015-06-10,54.009998,55.00,54.009998,54.650002,60700,54.650002
2015-06-09,54.98,55.16,54.349998,54.82,71800,54.82
2015-06-08,54.25,55.139999,54.25,54.82,36200,54.82
2015-06-05,54.18,55.52,53.50,55.00,115000,55.00
2015-06-04,53.459999,53.610001,52.91,53.580002,172400,53.580002
2015-06-03,52.889999,54.540001,52.889999,53.610001,162900,53.610001
2015-06-02,50.400002,53.209999,50.400002,52.889999,139600,52.889999
2015-06-01,49.27,50.709999,48.84,50.57,84700,50.57
2015-05-29,48.369999,49.310001,48.09,49.060001,96500,49.060001
2015-05-28,48.419998,48.57,48.130001,48.349998,40700,48.349998
2015-05-27,48.330002,48.580002,47.959999,48.34,68100,48.34
2015-05-26,48.68,48.709999,47.98,48.450001,43400,48.450001
2015-05-22,49.07,49.50,48.25,48.98,56800,48.98
2015-05-21,49.50,49.50,48.759998,49.209999,39400,49.209999
2015-05-20,48.860001,49.200001,48.330002,48.900002,111000,48.900002
2015-05-19,48.810001,48.810001,47.950001,48.540001,37400,48.540001
2015-05-18,48.02,48.77,47.560001,48.57,29600,48.57
2015-05-15,48.209999,48.330002,47.610001,47.950001,30800,47.950001
2015-05-14,48.279999,48.52,47.50,48.23,21100,48.23
2015-05-13,47.66,48.02,47.380001,47.599998,19400,47.599998
2015-05-12,46.50,47.799999,46.049999,47.73,75200,47.73
2015-05-11,46.900002,48.009998,46.580002,46.599998,69000,46.599998
2015-05-08,48.049999,48.049999,46.619999,46.799999,66500,46.799999
2015-05-07,47.07,48.00,47.049999,47.599998,29600,47.599998
2015-05-06,47.720001,47.720001,46.849998,47.299999,35000,47.299999
2015-05-05,48.299999,48.82,46.900002,47.790001,39600,47.790001
2015-05-04,48.549999,49.16,47.919998,48.349998,42700,48.349998
2015-05-01,48.66,49.23,47.779999,48.700001,83600,48.700001
2015-04-30,49.50,49.50,47.82,48.240002,60800,48.240002
2015-04-29,49.400002,49.50,48.73,48.869999,42100,48.869999
2015-04-28,48.700001,49.59,48.32,49.470001,58100,49.470001
2015-04-27,48.669998,49.389999,48.049999,48.66,40700,48.66
2015-04-24,49.25,49.470001,48.599998,48.75,18600,48.75
2015-04-23,48.830002,49.549999,48.740002,49.049999,20700,49.049999
2015-04-22,48.889999,49.540001,48.060001,49.130001,17900,49.130001
2015-04-21,49.23,49.459999,48.169998,48.740002,18500,48.740002
2015-04-20,48.389999,49.360001,47.990002,49.240002,32200,49.240002
2015-04-17,48.959999,49.360001,47.759998,48.049999,41000,48.049999
2015-04-16,49.52,49.630001,49.220001,49.41,41600,49.41
2015-04-15,48.75,49.639999,48.75,49.540001,77100,49.540001
2015-04-14,48.040001,49.09,47.779999,48.57,41800,48.57
2015-04-13,47.400002,47.950001,47.400002,47.91,57100,47.91
2015-04-10,47.189999,47.700001,46.970001,47.34,70100,47.34
2015-04-09,47.470001,47.740002,46.110001,46.860001,50200,46.860001
2015-04-08,47.119999,47.59,47.09,47.490002,21900,47.490002
2015-04-07,47.02,47.779999,46.82,46.939999,62800,46.939999
2015-04-06,47.389999,47.529999,47.02,47.32,48900,47.32
2015-04-02,47.349998,47.990002,47.18,47.57,45000,47.57
2015-04-01,47.099998,47.549999,46.860001,47.490002,57100,47.490002
2015-03-31,47.23,48.009998,47.23,47.400002,80500,47.400002
2015-03-30,48.02,48.209999,47.380001,47.57,40900,47.57
2015-03-27,47.619999,47.939999,47.220001,47.650002,44400,47.650002
2015-03-26,47.98,48.080002,47.349998,47.529999,36000,47.529999
2015-03-25,49.02,49.25,47.880001,47.990002,53200,47.990002
2015-03-24,49.080002,49.43,48.84,48.98,95200,48.98
2015-03-23,48.290001,49.919998,48.009998,49.23,52700,49.23
2015-03-20,47.50,48.509998,47.490002,48.290001,151800,48.290001
2015-03-19,46.720001,47.50,46.639999,47.259998,143200,47.259998
2015-03-18,46.91,47.48,46.900002,47.200001,30200,47.200001
2015-03-17,46.919998,47.419998,46.599998,47.150002,44500,47.150002
2015-03-16,47.50,47.50,46.68,46.889999,41200,46.889999
2015-03-13,46.919998,47.459999,46.209999,47.169998,44100,47.169998
2015-03-12,46.060001,47.110001,45.740002,46.869999,91500,46.869999
2015-03-11,45.790001,45.970001,45.59,45.650002,40800,45.650002
2015-03-10,45.790001,46.119999,45.169998,45.869999,59000,45.869999
2015-03-09,46.189999,46.25,45.66,46.060001,126200,46.060001
2015-03-06,45.810001,46.290001,45.48,45.970001,94300,45.970001
2015-03-05,46.470001,46.73,45.990002,46.259998,42600,46.259998
2015-03-04,46.439999,46.610001,46.130001,46.380001,41300,46.380001
2015-03-03,47.68,47.84,46.720001,46.73,63000,46.73
2015-03-02,46.209999,47.91,46.209999,47.68,116900,47.68
2015-02-27,46.279999,46.549999,45.759998,46.119999,92400,46.119999
2015-02-26,46.200001,46.389999,45.720001,46.299999,43100,46.299999
