Date,Open,High,Low,Close,Volume,Adj Close
2015-05-28,46.580002,46.73,45.700001,46.599998,89000,46.534031
2015-05-27,46.240002,46.889999,46.09,46.619999,64100,46.554003
2015-05-26,46.610001,46.990002,46.029999,46.400002,87800,46.334317
2015-05-22,46.509998,47.450001,46.41,46.98,126500,46.913494
2015-05-21,47.00,47.00,45.700001,46.75,142600,46.68382
2015-05-20,45.950001,47.110001,45.459999,46.810001,141900,46.743737
2015-05-19,45.419998,45.779999,45.00,45.669998,112200,45.605347
2015-05-18,44.279999,45.889999,44.279999,45.52,116000,45.455562
2015-05-15,44.290001,44.459999,43.669998,44.43,90300,44.367105
2015-05-14,44.029999,44.599998,43.299999,44.389999,123800,44.32716
2015-05-13,43.77,44.25,43.00,44.029999,154700,43.967669
2015-05-12,44.040001,44.040001,43.00,43.779999,125800,43.718023
2015-05-11,43.880001,44.57,43.599998,44.389999,154100,44.32716
2015-05-08,44.00,44.389999,43.490002,44.07,125700,44.007614
2015-05-07,42.029999,43.98,42.02,43.549999,194400,43.488349
2015-05-06,41.740002,41.740002,40.50,41.290001,106500,41.23155
2015-05-05,41.700001,42.00,41.110001,41.189999,137500,41.13169
2015-05-04,42.59,43.389999,41.610001,42.119999,125300,42.060373
2015-05-01,42.049999,42.779999,41.779999,42.540001,110100,42.479781
2015-04-30,42.849998,43.16,41.66,42.110001,178700,42.050389
2015-04-29,44.400002,44.619999,42.709999,43.119999,68000,43.058958
2015-04-28,44.23,44.709999,43.02,44.610001,74400,44.54685
2015-04-27,45.950001,46.490002,44.040001,44.459999,90200,44.397061
2015-04-24,45.310001,45.869999,45.220001,45.68,72200,45.615335
2015-04-23,45.32,45.630001,44.740002,45.360001,64300,45.295789
2015-04-22,45.669998,45.790001,44.50,45.50,57300,45.43559
2015-04-21,45.82,45.959999,45.560001,45.650002,63300,45.585379
2015-04-20,45.369999,46.189999,45.119999,45.599998,53000,45.535447
2015-04-17,45.23,45.43,44.759998,45.209999,98700,45.145999
2015-04-16,45.77,46.599998,45.310001,45.700001,90200,45.635307
2015-04-15,46.119999,46.580002,45.810001,46.00,84600,45.934882
2015-04-14,46.119999,46.349998,45.900002,46.029999,74500,45.964838
2015-04-13,45.540001,46.529999,45.540001,46.220001,83100,46.154572
2015-04-10,46.330002,46.330002,45.119999,45.59,153800,45.525462
2015-04-09,46.00,46.32,45.07,45.98,91700,45.91491
2015-04-08,45.630001,46.169998,45.630001,45.990002,153600,45.924898
2015-04-07,45.720001,46.169998,45.59,45.73,91600,45.665264
2015-04-06,45.939999,46.150002,45.68,45.950001,117900,45.884953
2015-04-02,46.75,46.900002,45.139999,45.970001,117600,45.904926
2015-04-01,46.580002,46.830002,45.540001,46.610001,120600,46.544019
2015-03-31,46.77,47.00,46.48,46.860001,114400,46.793665
2015-03-30,47.509998,47.939999,46.220001,47.09,146900,47.023339
2015-03-27,46.650002,48.00,46.450001,47.41,168900,47.342886
2015-03-26,45.470001,46.060001,44.599998,45.360001,148900,45.220894
2015-03-25,47.119999,47.450001,45.419998,45.560001,104800,45.420282
2015-03-24,47.040001,47.48,46.810001,47.169998,121800,47.025341
2015-03-23,46.00,47.18,45.860001,47.110001,122200,46.965527
2015-03-20,45.099998,46.220001,44.849998,46.080002,285000,45.938687
2015-03-19,43.84,44.799999,43.650002,44.75,75500,44.612764
2015-03-18,43.720001,44.32,43.52,44.009998,165000,43.875032
2015-03-17,43.50,44.060001,42.959999,43.82,145600,43.685616
2015-03-16,43.459999,44.27,43.459999,43.84,104500,43.705555
2015-03-13,43.369999,43.700001,42.669998,43.360001,157000,43.227028
2015-03-12,43.099998,43.82,42.529999,43.52,233900,43.386537
2015-03-11,43.09,43.50,42.560001,42.970001,169100,42.838224
2015-03-10,43.200001,43.970001,42.91,43.130001,206400,42.997733
2015-03-09,43.84,44.189999,43.41,43.919998,136000,43.785308
2015-03-06,44.290001,44.68,43.32,43.84,182600,43.705555
2015-03-05,44.470001,44.900002,44.07,44.709999,153200,44.572886
2015-03-04,44.150002,45.099998,43.610001,44.470001,150500,44.333624
2015-03-03,45.060001,45.09,43.419998,44.52,184500,44.38347
2015-03-02,44.049999,45.43,44.049999,45.34,212200,45.200955
2015-02-27,44.099998,44.860001,43.490002,44.07,394600,43.934849
2015-02-26,43.48,44.889999,43.400002,44.099998,189900,43.964756
2015-02-25,43.18,43.50,42.299999,43.400002,214800,43.266906
2015-02-24,43.259998,43.50,42.860001,43.040001,164200,42.908009
2015-02-23,41.700001,43.68,41.610001,43.419998,264900,43.286841
2015-02-20,41.470001,41.59,41.00,41.41,121100,41.283007
2015-02-19,41.110001,41.50,41.040001,41.490002,157300,41.362764
2015-02-18,41.040001,41.23,40.869999,41.119999,179100,40.993895
2015-02-17,41.040001,41.380001,40.889999,41.27,135700,41.143437
2015-02-13,40.830002,41.060001,40.75,40.91,187300,40.78454
2015-02-12,41.490002,41.669998,40.75,40.849998,1277800,40.724723
2015-02-11,41.00,42.299999,41.00,42.029999,117100,41.901105
2015-02-10,41.599998,41.630001,40.439999,41.27,109900,41.143437
2015-02-09,43.16,43.470001,41.98,42.16,104400,42.030707
2015-02-06,44.279999,44.369999,43.669998,43.919998,74900,43.785308
2015-02-05,43.57,44.450001,43.549999,44.41,61400,44.273807
2015-02-04,43.619999,44.240002,43.380001,43.580002,59600,43.446354
2015-02-03,42.32,44.130001,42.32,43.950001,93000,43.815218
2015-02-02,41.400002,42.389999,40.41,42.189999,94600,42.060614
2015-01-30,43.200001,43.459999,41.23,41.50,143500,41.372731
2015-01-29,42.98,43.77,42.549999,43.639999,81200,43.506168
2015-01-28,43.16,43.82,42.700001,42.919998,68200,42.788375
2015-01-27,42.990002,43.509998,42.919998,43.290001,75700,43.157243
2015-01-26,43.07,43.459999,42.59,43.299999,35900,43.16721
2015-01-23,43.150002,43.52,42.700001,43.119999,68600,42.987762
2015-01-22,42.990002,43.169998,42.25,43.009998,66500,42.878099
2015-01-21,43.439999,43.849998,42.389999,42.830002,65300,42.698654
2015-01-20,44.060001,44.200001,42.68,43.689999,45500,43.556014
2015-01-16,42.419998,44.18,42.279999,44.110001,57500,43.974728
2015-01-15,43.799999,44.189999,42.380001,42.59,67400,42.459389
2015-01-14,42.389999,44.16,42.389999,43.950001,57000,43.815218
2015-01-13,42.470001,42.779999,41.700001,42.689999,154100,42.55908
2015-01-12,42.419998,42.560001,41.439999,41.959999,86500,41.83132
2015-01-09,42.41,42.830002,42.139999,42.450001,82800,42.319819
2015-01-08,42.419998,42.990002,42.150002,42.560001,136500,42.429482
2015-01-07,42.139999,42.580002,41.310001,41.970001,111700,41.841291
2015-01-06,42.639999,42.669998,41.259998,41.759998,94700,41.631932
2015-01-05,42.41,42.98,41.189999,42.380001,107800,42.250034
2015-01-02,44.560001,44.869999,42.459999,43.189999,115100,43.057547
