Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,31.90,31.90,31.90,31.90,1200,31.90
2014-12-30,31.87,31.90,31.61,31.87,2700,31.87
2014-12-29,31.25,31.60,31.17,31.60,2900,31.60
2014-12-26,32.00,32.00,31.47,31.47,2600,31.17
2014-12-25,31.64,31.64,31.64,31.64,000,31.3384
2014-12-24,31.58,31.64,31.58,31.64,1800,31.3384
2014-12-23,31.68,32.00,31.58,31.58,2100,31.279
2014-12-22,31.25,31.25,31.25,31.25,1100,30.9521
2014-12-19,31.13,31.53,31.13,31.53,400,31.2294
2014-12-18,30.7501,31.50,30.7501,31.35,3000,31.0511
2014-12-17,30.89,30.89,30.89,30.89,400,30.5955
2014-12-16,30.15,30.15,30.15,30.15,000,29.8626
2014-12-15,30.65,30.65,30.11,30.15,2900,29.8626
2014-12-12,30.56,30.70,30.51,30.52,2300,30.2291
2014-12-11,30.79,30.80,30.38,30.61,1300,30.3182
2014-12-10,30.89,30.94,30.07,30.07,2500,29.7833
2014-12-09,30.34,31.18,30.34,30.90,5000,30.6054
2014-12-08,30.44,30.99,29.34,30.61,3600,30.3182
2014-12-05,30.54,30.83,30.41,30.41,4400,30.1201
2014-12-04,30.21,30.36,29.91,30.0501,6500,29.7636
2014-12-03,30.14,30.46,30.03,30.46,7900,30.1696
2014-12-02,30.54,30.54,30.54,30.54,000,30.2489
2014-12-01,30.54,30.54,30.54,30.54,000,30.2489
2014-11-28,30.54,30.54,30.54,30.54,000,30.2489
2014-11-27,30.54,30.54,30.54,30.54,000,30.2489
2014-11-26,30.44,30.54,30.13,30.54,6200,30.2489
2014-11-25,29.99,30.55,29.99,30.49,8400,30.1993
2014-11-24,30.52,30.62,30.21,30.51,7300,30.2192
2014-11-21,29.84,30.46,29.84,30.12,8000,29.8329
2014-11-20,29.73,29.82,29.45,29.75,4200,29.4664
2014-11-19,30.79,30.79,30.79,30.79,000,30.4965
2014-11-18,30.67,31.39,30.67,30.79,1100,30.4965
2014-11-17,31.68,31.68,31.68,31.68,000,31.378
2014-11-14,31.68,31.68,31.68,31.68,000,31.378
2014-11-13,31.80,31.80,31.19,31.68,4900,31.378
2014-11-12,31.91,31.95,31.91,31.95,2000,31.6454
2014-11-11,31.96,31.96,31.96,31.96,000,31.6553
2014-11-10,31.88,31.96,31.20,31.96,700,31.6553
2014-11-07,30.78,32.00,30.78,31.24,4600,30.9422
2014-11-06,30.66,31.83,30.66,31.67,6600,31.3681
2014-11-05,30.37,31.09,30.36,30.93,1600,30.6351
2014-11-04,29.86,29.86,29.86,29.86,000,29.5753
2014-11-03,31.33,31.33,29.34,29.86,3600,29.5753
2014-10-31,30.41,30.70,30.41,30.42,2400,30.13
2014-10-30,30.85,30.85,30.54,30.84,1500,30.546
2014-10-29,30.28,30.79,29.80,30.79,2000,30.4965
2014-10-28,30.13,30.13,30.13,30.13,400,29.8428
2014-10-27,29.75,29.75,29.75,29.75,000,29.4664
2014-10-24,29.60,29.76,29.60,29.75,500,29.4664
2014-10-23,29.77,29.80,29.68,29.80,600,29.5159
2014-10-22,30.04,30.04,29.56,29.56,1000,29.2782
2014-10-21,30.25,30.31,30.16,30.16,2700,29.8725
2014-10-20,30.2804,30.2804,30.2804,30.2804,200,29.9917
2014-10-17,30.27,30.32,30.2601,30.32,1000,30.031
2014-10-16,30.25,30.85,30.22,30.85,6200,30.5559
2014-10-15,29.7301,30.11,29.50,30.11,3400,29.823
2014-10-14,30.45,30.75,30.14,30.75,6600,30.4569
2014-10-13,30.06,30.39,29.97,30.39,1400,30.1003
2014-10-10,29.93,29.96,29.32,29.96,700,29.6744
2014-10-09,29.24,29.37,29.24,29.37,300,29.09
2014-10-08,29.69,29.69,29.69,29.69,500,29.407
2014-10-07,29.40,29.40,29.05,29.38,1700,29.0999
2014-10-06,29.55,29.55,29.53,29.53,300,29.2485
2014-10-03,29.7901,29.7901,29.79,29.79,400,29.506
2014-10-02,29.60,29.60,29.60,29.60,100,29.3178
2014-10-01,29.68,29.68,29.68,29.68,000,29.3971
2014-09-30,29.39,29.70,29.39,29.68,4800,29.3971
2014-09-29,28.3901,29.38,28.3901,29.38,300,29.0999
2014-09-26,29.50,29.51,29.48,29.48,500,29.199
2014-09-25,29.66,29.66,29.66,29.66,000,29.0801
2014-09-24,29.3251,29.66,29.05,29.66,2700,29.0801
2014-09-23,29.34,29.34,29.24,29.24,200,28.6683
2014-09-22,29.58,29.79,29.16,29.79,2500,29.2076
2014-09-19,29.83,29.83,29.83,29.83,000,29.2468
2014-09-18,29.83,29.83,29.83,29.83,000,29.2468
2014-09-17,29.83,29.83,29.83,29.83,000,29.2468
2014-09-16,29.83,29.83,29.83,29.83,000,29.2468
2014-09-15,29.81,30.03,29.81,29.83,300,29.2468
2014-09-12,30.48,30.60,29.955,30.00,11200,29.4135
2014-09-11,30.50,30.50,30.19,30.31,1700,29.7174
2014-09-10,30.00,30.15,30.00,30.15,500,29.5605
2014-09-09,30.00,30.00,29.90,30.00,2000,29.4135
2014-09-08,29.88,29.88,29.83,29.83,500,29.2468
2014-09-05,29.44,29.44,29.44,29.44,100,28.8644
2014-09-04,29.59,30.065,29.59,29.8556,1200,29.2719
2014-09-03,29.64,29.65,29.60,29.60,500,29.0213
2014-09-02,30.04,30.04,29.55,29.55,600,28.9723
2014-09-01,29.60,29.60,29.60,29.60,000,29.0213
2014-08-29,29.58,29.60,29.58,29.60,1000,29.0213
2014-08-28,29.37,29.60,29.271,29.60,1400,29.0213
2014-08-27,30.14,30.20,29.57,29.57,3600,28.9919
2014-08-26,29.12,30.5645,29.12,30.20,9600,29.6096
2014-08-25,29.86,31.10,29.475,30.66,10700,30.0606
2014-08-22,29.89,30.00,29.62,29.89,2800,29.3056
2014-08-21,29.18,29.98,29.18,29.98,17300,29.3939
2014-08-20,29.07,29.12,28.97,29.12,4400,28.5507
2014-08-19,28.92,29.22,28.92,29.1072,3000,28.5381
2014-08-18,28.90,29.4948,28.90,29.262,4700,28.6899
2014-08-15,29.10,29.10,29.10,29.10,200,28.5311
2014-08-14,28.97,29.3387,28.93,28.93,900,28.3644
2014-08-13,29.05,29.05,28.93,29.05,4100,28.482
2014-08-12,29.05,29.05,28.68,28.9001,7300,28.3351
2014-08-11,28.54,29.27,28.54,28.9954,9700,28.4285
2014-08-08,28.78,29.25,28.68,28.90,10800,28.335
2014-08-07,28.95,29.00,28.4901,29.00,7600,28.433
2014-08-06,28.48,29.36,28.48,29.15,83200,28.5801
2014-08-05,28.23,29.54,28.23,28.9458,106400,28.3799
2014-08-04,20.98,20.98,20.98,20.98,600,20.5698
2014-08-01,20.56,20.56,20.56,20.56,100,20.158
