Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,6.78,6.78,6.35,6.45,23100,6.45
2015-09-03,6.46,7.00,6.25,6.51,47100,6.51
2015-09-02,6.79,6.80,6.15,6.36,99400,6.36
2015-09-01,6.48,6.76,6.05,6.30,61400,6.30
2015-08-31,5.60,6.28,5.60,6.05,41000,6.05
2015-08-28,5.30,5.66,5.30,5.55,35300,5.55
2015-08-27,4.95,5.29,4.90,5.29,20800,5.29
2015-08-26,4.99,4.99,4.90,4.90,1900,4.90
2015-08-25,4.90,4.99,4.85,4.94,13900,4.94
2015-08-24,4.65,4.76,4.59,4.76,3200,4.76
2015-08-21,4.71,4.91,4.50,4.62,9500,4.62
2015-08-20,4.60,4.71,4.59,4.71,5200,4.71
2015-08-19,4.71,4.71,4.68,4.70,1000,4.70
2015-08-18,4.65,4.88,4.65,4.71,6000,4.71
2015-08-17,4.69,4.70,4.65,4.65,2200,4.65
2015-08-14,4.98,4.98,4.61,4.61,600,4.61
2015-08-13,4.93,4.93,4.93,4.93,200,4.93
2015-08-12,4.94,4.94,4.69,4.69,300,4.69
2015-08-11,4.94,4.96,4.81,4.81,800,4.81
2015-08-10,4.84,4.86,4.81,4.86,900,4.86
2015-08-07,4.80,4.99,4.76,4.80,3600,4.80
2015-08-06,4.81,4.99,4.80,4.98,3400,4.98
2015-08-05,4.94,4.95,4.88,4.88,800,4.88
2015-08-04,4.95,4.95,4.95,4.95,100,4.95
2015-08-03,4.76,4.76,4.76,4.76,300,4.76
2015-07-31,4.90,4.90,4.90,4.90,000,4.90
2015-07-30,4.95,4.95,4.77,4.90,2000,4.90
2015-07-29,4.93,4.94,4.93,4.94,300,4.94
2015-07-28,4.77,4.77,4.76,4.76,400,4.76
2015-07-27,4.75,4.77,4.75,4.76,4600,4.76
2015-07-24,4.80,4.86,4.80,4.86,300,4.86
2015-07-23,4.79,4.95,4.71,4.95,8300,4.95
2015-07-22,4.70,4.70,4.64,4.64,500,4.64
2015-07-21,4.64,4.80,4.64,4.80,5000,4.80
2015-07-20,4.80,4.80,4.80,4.80,1100,4.80
2015-07-17,4.82,4.84,4.82,4.84,1200,4.84
2015-07-16,4.85,4.85,4.61,4.83,3200,4.83
2015-07-15,4.86,4.86,4.67,4.74,1600,4.74
2015-07-14,4.66,4.75,4.66,4.74,3000,4.74
2015-07-13,4.62,4.62,4.62,4.62,000,4.62
2015-07-10,4.73,4.73,4.62,4.62,700,4.62
2015-07-09,4.57,4.60,4.50,4.60,2700,4.60
2015-07-08,4.60,4.69,4.58,4.58,2900,4.58
2015-07-07,4.70,4.70,4.57,4.70,15800,4.70
2015-07-06,4.78,4.78,4.70,4.70,2700,4.70
2015-07-02,4.73,4.76,4.71,4.75,11300,4.75
2015-07-01,4.62,4.62,4.62,4.62,600,4.62
2015-06-30,4.90,4.92,4.80,4.90,2600,4.90
2015-06-29,4.80,4.82,4.64,4.69,8900,4.69
2015-06-26,4.97,4.97,4.82,4.86,3000,4.86
2015-06-25,4.99,4.99,4.98,4.98,1300,4.98
2015-06-24,5.00,5.00,4.97,4.97,2200,4.97
2015-06-23,5.09,5.09,4.99,5.00,4100,5.00
2015-06-22,4.92,5.09,4.91,5.03,12800,5.03
2015-06-19,4.98,4.98,4.82,4.89,2500,4.89
2015-06-18,4.97,4.97,4.28,4.90,10200,4.90
2015-06-17,4.85,5.10,4.85,5.10,3700,5.10
2015-06-16,4.90,4.90,4.89,4.89,4000,4.89
2015-06-15,4.80,4.90,4.72,4.90,3000,4.90
2015-06-12,4.92,4.93,4.74,4.92,6500,4.92
2015-06-11,4.92,5.02,4.92,4.93,9900,4.93
2015-06-10,5.05,5.10,4.97,5.02,6800,5.02
2015-06-09,5.00,5.02,5.00,5.00,7100,4.92
2015-06-08,4.83,5.08,4.83,5.00,9900,4.92
2015-06-05,4.82,4.94,4.80,4.93,5200,4.85112
2015-06-04,4.67,4.91,4.61,4.80,6600,4.7232
2015-06-03,4.52,4.69,4.52,4.65,1000,4.5756
2015-06-02,4.55,4.62,4.54,4.62,4100,4.54608
2015-06-01,4.76,4.76,4.54,4.69,21800,4.61496
2015-05-29,5.00,5.25,4.53,4.82,30700,4.74288
2015-05-28,4.38,5.19,4.33,5.00,40800,4.92
2015-05-27,4.33,4.47,4.33,4.45,1700,4.3788
2015-05-26,4.34,4.43,4.34,4.43,200,4.35912
2015-05-22,4.35,4.37,4.35,4.37,2300,4.30008
2015-05-21,4.49,4.49,4.30,4.30,5400,4.2312
2015-05-20,4.32,4.32,4.32,4.32,000,4.25088
2015-05-19,4.32,4.32,4.30,4.32,2100,4.25088
2015-05-18,4.32,4.37,4.29,4.33,2800,4.26072
2015-05-15,4.27,4.27,4.27,4.27,000,4.20168
2015-05-14,4.35,4.35,4.27,4.27,1500,4.20168
2015-05-13,4.38,4.40,4.35,4.40,3300,4.3296
2015-05-12,4.38,4.38,4.35,4.35,200,4.2804
2015-05-11,4.40,4.40,4.34,4.39,2100,4.31976
2015-05-08,4.25,4.40,4.20,4.40,17000,4.3296
