Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,22.93,22.93,22.93,22.93,000,22.93
2015-09-03,22.35,22.93,22.35,22.93,500,22.93
2015-09-02,22.309999,22.309999,22.309999,22.309999,200,22.309999
2015-09-01,22.549999,22.549999,22.50,22.50,1200,22.50
2015-08-31,22.370001,22.51,22.370001,22.50,1400,22.50
2015-08-28,22.59,22.799999,22.379999,22.49,2400,22.49
2015-08-27,22.889999,22.889999,22.50,22.50,5700,22.50
2015-08-26,22.370001,22.50,22.370001,22.42,2200,22.42
2015-08-25,22.50,22.50,22.49,22.49,300,22.49
2015-08-24,22.889999,22.889999,22.370001,22.42,5100,22.42
2015-08-21,22.50,22.50,22.50,22.50,7700,22.50
2015-08-20,22.82,22.82,22.50,22.68,700,22.68
2015-08-19,22.809999,22.809999,22.709999,22.719999,500,22.719999
2015-08-18,22.889999,22.889999,22.889999,22.889999,200,22.889999
2015-08-17,22.540001,22.74,22.51,22.60,1100,22.60
2015-08-14,22.75,22.75,22.75,22.75,500,22.75
2015-08-13,22.940001,22.940001,22.940001,22.940001,100,22.940001
2015-08-12,22.75,22.77,22.75,22.77,200,22.77
2015-08-11,22.77,22.77,22.75,22.75,700,22.75
2015-08-10,22.959999,22.959999,22.959999,22.959999,200,22.959999
2015-08-07,22.75,22.77,22.75,22.75,1200,22.75
2015-08-06,22.879999,22.98,22.879999,22.98,8000,22.98
2015-08-05,22.76,22.790001,22.76,22.790001,2500,22.790001
2015-08-04,22.90,22.90,22.75,22.75,3400,22.75
2015-08-03,22.82,22.90,22.780001,22.90,9900,22.90
2015-07-31,22.92,22.950001,22.92,22.950001,6100,22.950001
2015-07-30,22.90,22.90,22.90,22.90,000,22.90
2015-07-29,23.030001,23.030001,22.790001,22.90,5600,22.90
2015-07-28,22.77,22.950001,22.77,22.90,900,22.90
2015-07-27,22.889999,22.889999,22.889999,22.889999,000,22.889999
2015-07-24,22.90,23.00,22.52,22.889999,10700,22.889999
2015-07-23,22.90,22.90,22.90,22.90,000,22.90
2015-07-22,22.98,23.00,22.90,22.90,12800,22.90
2015-07-21,22.950001,22.950001,22.90,22.90,600,22.90
2015-07-20,22.90,22.92,22.90,22.91,500,22.91
2015-07-17,22.889999,23.040001,22.870001,22.870001,3500,22.870001
2015-07-16,23.10,23.120001,22.959999,22.959999,2100,22.959999
2015-07-15,23.10,23.10,22.90,22.90,600,22.90
2015-07-14,22.90,23.200001,22.90,22.959999,4000,22.959999
2015-07-13,23.200001,23.200001,23.200001,23.200001,500,23.200001
2015-07-10,23.209999,23.25,22.90,22.90,1900,22.90
2015-07-09,23.200001,23.200001,23.15,23.15,200,23.15
2015-07-08,22.950001,22.950001,22.950001,22.950001,600,22.950001
2015-07-07,22.870001,22.91,22.870001,22.91,900,22.91
2015-07-06,23.200001,23.200001,23.200001,23.200001,000,23.200001
2015-07-02,23.25,23.25,23.200001,23.200001,6400,23.200001
2015-07-01,23.209999,23.25,23.190001,23.25,2600,23.25
2015-06-30,23.25,23.25,23.18,23.18,200,22.950001
2015-06-29,23.25,23.25,23.10,23.24,2200,23.009405
2015-06-26,23.110001,23.25,23.110001,23.25,1000,23.019306
2015-06-25,23.549999,23.549999,23.24,23.25,1400,23.019306
2015-06-24,23.16,23.25,23.110001,23.110001,6800,22.880696
2015-06-23,22.58,23.190001,22.01,22.83,5100,22.603473
2015-06-22,23.25,23.25,22.52,22.82,800,22.593572
2015-06-19,23.67,23.700001,22.23,22.23,16100,22.009426
2015-06-18,23.700001,23.700001,23.610001,23.700001,4100,23.464842
2015-06-17,23.75,23.75,23.74,23.75,2500,23.514345
2015-06-16,23.25,23.299999,23.23,23.299999,3500,23.068809
2015-06-15,23.34,23.34,23.23,23.34,5100,23.108413
2015-06-12,23.200001,24.59,23.129999,23.34,5100,23.108413
2015-06-11,22.99,23.50,22.90,23.00,6300,22.771787
2015-06-10,23.00,23.00,23.00,23.00,1100,22.771787
2015-06-09,23.17,23.17,23.00,23.00,600,22.771787
2015-06-08,23.25,23.25,23.25,23.25,200,23.019306
2015-06-05,23.450001,23.450001,23.450001,23.450001,100,23.217322
2015-06-04,23.00,23.50,23.00,23.50,700,23.266825
2015-06-03,22.75,23.51,22.65,23.51,1400,23.276726
2015-06-02,22.77,22.77,22.77,22.77,100,22.544069
2015-06-01,22.99,22.99,22.99,22.99,200,22.761886
2015-05-29,22.799999,22.799999,22.75,22.75,800,22.524267
2015-05-28,22.950001,23.00,22.85,22.85,2700,22.623275
2015-05-27,23.209999,23.209999,22.940001,22.940001,700,22.712382
2015-05-26,23.219999,23.219999,23.00,23.01,1800,22.781688
2015-05-22,23.15,23.15,23.15,23.15,200,22.920298
2015-05-21,23.290001,23.290001,23.290001,23.290001,000,23.05891
2015-05-20,23.299999,23.299999,23.290001,23.290001,900,23.05891
2015-05-19,23.50,23.50,23.309999,23.309999,400,23.07871
2015-05-18,23.700001,23.700001,23.700001,23.700001,700,23.464842
2015-05-15,23.17,23.17,23.17,23.17,300,22.9401
2015-05-14,22.75,23.26,22.75,22.83,2300,22.603473
2015-05-13,23.00,23.00,23.00,23.00,200,22.771787
2015-05-12,23.41,23.42,23.40,23.40,1800,23.167817
2015-05-11,23.57,23.60,23.469999,23.469999,5300,23.237122
2015-05-08,23.57,23.57,23.57,23.57,500,23.33613
2015-05-07,23.50,23.50,23.50,23.50,000,23.266825
2015-05-06,23.60,23.700001,23.50,23.50,4000,23.266825
2015-05-05,23.709999,23.719999,23.700001,23.719999,3600,23.484642
2015-05-04,23.50,23.50,23.50,23.50,000,23.266825
2015-05-01,23.50,23.50,23.50,23.50,300,23.266825
2015-04-30,23.67,23.700001,23.67,23.690001,3000,23.454941
2015-04-29,23.48,23.889999,23.469999,23.49,1500,23.256924
2015-04-28,23.469999,23.48,23.40,23.40,3100,23.167817
2015-04-27,23.469999,23.469999,23.309999,23.309999,300,23.07871
2015-04-24,23.15,23.440001,23.15,23.440001,9000,23.207421
2015-04-23,23.209999,23.370001,23.209999,23.34,1700,23.108413
2015-04-22,23.34,23.370001,23.34,23.34,1100,23.108413
2015-04-21,23.379999,23.379999,23.00,23.32,6600,23.088611
2015-04-20,23.15,23.379999,22.709999,23.25,5200,23.019306
2015-04-17,22.889999,23.370001,22.76,22.76,1900,22.534168
2015-04-16,22.879999,22.879999,22.879999,22.879999,300,22.652976
2015-04-15,22.540001,22.90,22.52,22.90,1100,22.672778
2015-04-14,22.52,22.77,22.52,22.75,3600,22.524267
2015-04-13,22.940001,22.940001,22.27,22.52,1100,22.29655
2015-04-10,22.799999,22.799999,22.799999,22.799999,100,22.57377
2015-04-09,23.15,23.15,22.799999,22.799999,200,22.57377
2015-04-08,22.200001,22.200001,22.200001,22.200001,000,21.979725
2015-04-07,22.16,22.24,22.16,22.200001,7300,21.979725
2015-04-06,22.00,22.00,21.48,21.48,2200,21.266868
2015-04-02,21.98,21.98,21.98,21.98,300,21.761907
2015-04-01,21.73,21.75,21.42,21.75,11300,21.534189
2015-03-31,21.90,21.90,21.90,21.90,000,21.682701
2015-03-30,21.780001,22.00,21.700001,21.90,3700,21.454983
2015-03-27,22.00,22.00,21.99,21.99,2200,21.543154
2015-03-26,21.620001,21.809999,21.60,21.65,1200,21.210063
2015-03-25,21.809999,21.809999,21.77,21.809999,3700,21.366811
2015-03-24,21.719999,21.719999,21.719999,21.719999,000,21.27864
2015-03-23,21.65,21.790001,21.620001,21.719999,1200,21.27864
2015-03-20,21.60,21.77,21.60,21.77,900,21.327625
2015-03-19,21.50,21.50,21.50,21.50,1100,21.063111
2015-03-18,21.709999,21.709999,21.450001,21.450001,6000,21.014128
2015-03-17,21.50,21.50,21.50,21.50,000,21.063111
