Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,17.940001,18.52,17.940001,18.459999,116400,18.459999
2015-09-03,18.450001,18.530001,18.15,18.17,145600,18.17
2015-09-02,17.950001,18.450001,17.73,18.450001,155800,18.450001
2015-09-01,17.75,18.02,17.459999,17.629999,183400,17.629999
2015-08-31,18.68,19.049999,17.969999,18.00,249200,18.00
2015-08-28,18.27,18.82,17.73,18.73,185900,18.73
2015-08-27,18.129999,18.309999,17.65,18.139999,213900,18.139999
2015-08-26,17.77,18.059999,17.040001,18.01,205800,18.01
2015-08-25,17.639999,17.969999,17.049999,17.35,162600,17.35
2015-08-24,16.870001,17.27,16.299999,17.02,293000,17.02
2015-08-21,17.02,18.48,17.02,17.610001,294500,17.610001
2015-08-20,17.41,17.90,17.309999,17.440001,210900,17.440001
2015-08-19,17.24,17.82,17.049999,17.60,123600,17.60
2015-08-18,17.309999,17.940001,17.219999,17.389999,159200,17.389999
2015-08-17,17.139999,17.68,16.91,17.469999,168700,17.469999
2015-08-14,17.799999,17.90,16.90,17.26,366200,17.26
2015-08-13,18.549999,18.790001,17.84,17.879999,102700,17.879999
2015-08-12,18.02,18.790001,18.00,18.469999,200000,18.469999
2015-08-11,18.129999,18.530001,17.77,18.40,300600,18.40
2015-08-10,18.18,18.65,17.93,18.23,290500,18.23
2015-08-07,18.299999,18.700001,17.66,18.219999,294500,18.219999
2015-08-06,18.82,19.370001,18.209999,18.299999,308800,18.299999
2015-08-05,19.860001,20.67,18.700001,18.83,779300,18.83
2015-08-04,21.389999,21.450001,20.200001,20.85,294300,20.85
2015-08-03,21.42,22.07,21.059999,21.290001,180200,21.290001
2015-07-31,21.15,21.690001,21.049999,21.33,118300,21.33
2015-07-30,20.76,21.35,20.60,21.049999,144300,21.049999
2015-07-29,21.40,21.50,20.879999,20.90,289300,20.90
2015-07-28,21.91,21.91,21.23,21.50,124300,21.50
2015-07-27,21.82,21.82,21.07,21.719999,86500,21.719999
2015-07-24,21.870001,22.639999,21.50,21.719999,136500,21.719999
2015-07-23,22.719999,22.98,21.91,21.99,107300,21.99
2015-07-22,21.690001,22.690001,21.620001,22.610001,106400,22.610001
2015-07-21,22.50,22.57,21.559999,21.91,150000,21.91
2015-07-20,22.540001,23.23,21.91,22.540001,208200,22.540001
2015-07-17,22.74,23.67,21.950001,22.32,383500,22.32
2015-07-16,20.25,22.799999,20.25,22.639999,445800,22.639999
2015-07-15,21.030001,21.030001,19.959999,20.030001,156700,20.030001
2015-07-14,20.57,21.440001,20.51,20.940001,156600,20.940001
2015-07-13,19.549999,20.40,19.370001,20.34,189200,20.34
2015-07-10,19.030001,19.370001,18.83,19.309999,153400,19.309999
2015-07-09,19.049999,19.07,18.52,18.66,89400,18.66
2015-07-08,18.91,19.110001,18.719999,18.75,175400,18.75
2015-07-07,19.52,19.629999,19.00,19.15,133200,19.15
2015-07-06,19.030001,19.950001,19.00,19.52,93100,19.52
2015-07-02,19.530001,19.719999,19.200001,19.27,145100,19.27
2015-07-01,19.719999,20.07,19.15,19.559999,152200,19.559999
2015-06-30,19.23,19.700001,19.049999,19.459999,236000,19.459999
2015-06-29,19.290001,19.690001,18.74,18.780001,197400,18.780001
2015-06-26,19.60,19.799999,19.18,19.379999,212700,19.379999
2015-06-25,19.639999,19.66,19.42,19.49,72500,19.49
2015-06-24,19.99,19.99,19.52,19.540001,118100,19.540001
2015-06-23,19.99,20.18,19.549999,19.99,119500,19.99
2015-06-22,20.10,20.290001,19.809999,20.030001,153900,20.030001
2015-06-19,20.48,20.57,19.950001,19.98,257900,19.98
2015-06-18,19.57,20.700001,19.469999,20.40,260900,20.40
2015-06-17,18.870001,19.75,18.780001,19.440001,132600,19.440001
2015-06-16,18.99,18.99,18.74,18.75,59000,18.75
2015-06-15,18.629999,19.10,18.26,18.959999,132400,18.959999
2015-06-12,18.68,18.85,18.34,18.65,73100,18.65
2015-06-11,18.48,18.76,18.299999,18.68,84400,18.68
2015-06-10,18.360001,18.620001,18.15,18.35,198800,18.35
2015-06-09,18.700001,18.700001,17.709999,18.41,211600,18.41
2015-06-08,18.75,19.08,18.35,18.530001,141700,18.530001
2015-06-05,18.93,19.200001,18.65,18.889999,146300,18.889999
2015-06-04,18.84,19.00,18.49,18.790001,113500,18.790001
2015-06-03,18.75,19.290001,18.620001,19.01,137200,19.01
