Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.30,0.30,0.20,0.26,2400,0.26
2014-12-30,0.25,0.25,0.25,0.25,000,0.25
2014-12-29,0.25,0.25,0.25,0.25,12400,0.25
2014-12-26,0.29,0.29,0.29,0.29,000,0.29
2014-12-24,0.20,0.20,0.20,0.20,000,0.20
2014-12-23,0.29,0.29,0.29,0.29,000,0.29
2014-12-22,0.29,0.29,0.29,0.29,000,0.29
2014-12-19,0.29,0.29,0.29,0.29,000,0.29
2014-12-18,0.29,0.29,0.29,0.29,000,0.29
2014-12-17,0.29,0.29,0.29,0.29,000,0.29
2014-12-16,0.29,0.29,0.29,0.29,000,0.29
2014-12-15,0.29,0.29,0.29,0.29,000,0.29
2014-12-12,0.29,0.29,0.29,0.29,000,0.29
2014-12-11,0.29,0.29,0.29,0.29,000,0.29
2014-12-10,0.29,0.29,0.29,0.29,000,0.29
2014-12-09,0.29,0.29,0.29,0.29,000,0.29
2014-12-08,0.29,0.30,0.29,0.29,11700,0.29
2014-12-05,0.30,0.34,0.30,0.30,20000,0.30
2014-12-04,0.30,0.30,0.30,0.30,000,0.30
2014-12-03,0.27,0.30,0.27,0.30,10000,0.30
2014-12-02,0.22,0.22,0.22,0.22,000,0.22
2014-12-01,0.22,0.22,0.22,0.22,000,0.22
2014-11-28,0.22,0.22,0.22,0.22,000,0.22
2014-11-26,0.22,0.23,0.21,0.22,70000,0.22
2014-11-25,0.22,0.22,0.22,0.22,20000,0.22
2014-11-24,0.22,0.22,0.22,0.22,000,0.22
2014-11-21,0.22,0.22,0.21,0.22,23900,0.22
2014-11-20,0.04,0.04,0.04,0.04,400,0.04
2014-11-19,0.04,0.04,0.04,0.04,300,0.04
2014-11-18,0.04,0.04,0.04,0.04,500,0.04
2014-11-17,0.06,0.06,0.03,0.06,40000,0.06
2014-11-14,0.07,0.07,0.07,0.07,20000,0.07
2014-11-13,0.06,0.07,0.05,0.07,20500,0.07
2014-11-12,0.07,0.07,0.07,0.07,000,0.07
2014-11-11,0.07,0.07,0.06,0.07,20000,0.07
2014-11-10,0.07,0.07,0.07,0.07,000,0.07
2014-11-07,0.07,0.07,0.07,0.07,000,0.07
2014-11-06,0.07,0.07,0.07,0.07,20000,0.07
2014-11-05,0.07,0.07,0.07,0.07,000,0.07
2014-11-04,0.07,0.07,0.07,0.07,10000,0.07
2014-11-03,0.07,0.07,0.07,0.07,000,0.07
2014-10-31,0.07,0.07,0.07,0.07,10000,0.07
2014-10-30,0.08,0.08,0.08,0.08,000,0.08
2014-10-29,0.08,0.08,0.08,0.08,000,0.08
2014-10-28,0.08,0.08,0.08,0.08,150000,0.08
2014-10-27,0.09,0.09,0.09,0.09,000,0.09
2014-10-24,0.09,0.09,0.09,0.09,000,0.09
2014-10-23,0.09,0.09,0.09,0.09,000,0.09
2014-10-22,0.09,0.09,0.09,0.09,000,0.09
2014-10-21,0.09,0.09,0.09,0.09,000,0.09
2014-10-20,0.09,0.09,0.09,0.09,000,0.09
2014-10-17,0.09,0.09,0.09,0.09,000,0.09
2014-10-16,0.09,0.09,0.09,0.09,000,0.09
2014-10-15,0.09,0.09,0.09,0.09,000,0.09
2014-10-14,0.09,0.09,0.09,0.09,000,0.09
2014-10-13,0.09,0.09,0.09,0.09,000,0.09
2014-10-10,0.09,0.09,0.09,0.09,000,0.09
2014-10-09,0.09,0.09,0.09,0.09,000,0.09
2014-10-08,0.09,0.09,0.09,0.09,000,0.09
2014-10-07,0.09,0.09,0.09,0.09,000,0.09
2014-10-06,0.09,0.09,0.09,0.09,000,0.09
2014-10-03,0.09,0.09,0.09,0.09,000,0.09
2014-10-02,0.09,0.09,0.09,0.09,000,0.09
2014-10-01,0.09,0.09,0.09,0.09,000,0.09
2014-09-30,0.09,0.09,0.09,0.09,25000,0.09
2014-09-29,0.09,0.09,0.09,0.09,000,0.09
2014-09-26,0.09,0.09,0.09,0.09,000,0.09
2014-09-25,0.09,0.09,0.09,0.09,000,0.09
2014-09-24,0.09,0.09,0.09,0.09,000,0.09
2014-09-23,0.09,0.09,0.09,0.09,000,0.09
2014-09-22,0.09,0.09,0.09,0.09,30000,0.09
2014-09-19,0.09,0.09,0.09,0.09,000,0.09
2014-09-18,0.09,0.09,0.09,0.09,000,0.09
2014-09-17,0.09,0.09,0.09,0.09,000,0.09
2014-09-16,0.09,0.09,0.09,0.09,000,0.09
2014-09-15,0.09,0.09,0.09,0.09,000,0.09
2014-09-12,0.09,0.09,0.09,0.09,000,0.09
2014-09-11,0.08,0.09,0.08,0.09,125000,0.09
2014-09-10,0.09,0.09,0.09,0.09,10000,0.09
2014-09-09,0.10,0.10,0.10,0.10,000,0.10
2014-09-08,0.10,0.10,0.10,0.10,500,0.10
