Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,0.80,0.80,0.80,0.80,000,0.80
2015-09-03,0.78,0.80,0.75,0.80,24400,0.80
2015-09-02,0.78,0.78,0.78,0.78,000,0.78
2015-09-01,0.79,0.79,0.78,0.78,1300,0.78
2015-08-31,0.78,0.79,0.74,0.75,12000,0.75
2015-08-28,0.79,0.79,0.75,0.78,10800,0.78
2015-08-27,0.77,0.79,0.76,0.79,35900,0.79
2015-08-26,0.79,0.79,0.72,0.77,46800,0.77
2015-08-25,0.82,0.82,0.75,0.76,13300,0.76
2015-08-24,0.71,0.76,0.71,0.76,12300,0.76
2015-08-21,0.86,0.89,0.85,0.85,6800,0.85
2015-08-20,0.94,0.94,0.86,0.89,16600,0.89
2015-08-19,0.95,0.97,0.94,0.94,12900,0.94
2015-08-18,1.00,1.00,0.90,0.99,50100,0.99
2015-08-17,0.98,0.99,0.98,0.99,1900,0.99
2015-08-14,0.91,0.98,0.90,0.93,6200,0.93
2015-08-13,0.93,0.98,0.90,0.90,4000,0.90
2015-08-12,0.95,0.98,0.92,0.98,7100,0.98
2015-08-11,0.99,0.99,0.94,0.98,6600,0.98
2015-08-10,0.99,1.00,0.96,0.99,12300,0.99
2015-08-07,0.98,1.02,0.94,0.95,5700,0.95
2015-08-06,1.00,1.08,0.95,1.01,52700,1.01
2015-08-05,1.08,1.12,1.01,1.03,103800,1.03
2015-08-04,0.99,1.10,0.98,1.08,73400,1.08
2015-08-03,1.03,1.03,0.97,0.97,15700,0.97
2015-07-31,0.97,1.04,0.97,1.04,36100,1.04
2015-07-30,1.02,1.03,0.97,1.01,86000,1.01
2015-07-29,1.04,1.04,0.98,1.04,3200,1.04
2015-07-28,0.96,1.12,0.96,1.08,183000,1.08
2015-07-27,0.99,0.99,0.96,0.99,13400,0.99
2015-07-24,0.96,0.99,0.96,0.98,10200,0.98
2015-07-23,0.96,0.98,0.96,0.96,11700,0.96
2015-07-22,0.96,0.98,0.96,0.96,3800,0.96
2015-07-21,0.97,1.00,0.96,0.96,3400,0.96
2015-07-20,0.96,1.01,0.96,0.96,8400,0.96
2015-07-17,0.96,1.01,0.96,1.00,5000,1.00
2015-07-16,0.97,0.97,0.95,0.97,24100,0.97
2015-07-15,0.95,0.99,0.95,0.99,36200,0.99
2015-07-14,1.02,1.04,0.95,0.98,42700,0.98
2015-07-13,1.03,1.06,1.03,1.06,3300,1.06
2015-07-10,1.03,1.07,1.03,1.06,10400,1.06
2015-07-09,0.98,1.08,0.94,1.02,43100,1.02
2015-07-08,1.03,1.04,0.92,0.96,28100,0.96
2015-07-07,1.15,1.15,1.00,1.02,215400,1.02
2015-07-06,1.15,1.16,1.15,1.15,88000,1.15
2015-07-02,1.16,1.18,1.15,1.15,16300,1.15
2015-07-01,1.17,1.18,1.16,1.16,15700,1.16
2015-06-30,1.16,1.18,1.15,1.15,9800,1.15
2015-06-29,1.16,1.16,1.15,1.15,80200,1.15
2015-06-26,1.17,1.17,1.15,1.15,44900,1.15
2015-06-25,1.16,1.18,1.15,1.16,33000,1.16
2015-06-24,1.17,1.18,1.15,1.15,29600,1.15
2015-06-23,1.16,1.24,1.15,1.18,12800,1.18
2015-06-22,1.17,1.17,1.15,1.15,24400,1.15
2015-06-19,1.15,1.18,1.15,1.15,45900,1.15
2015-06-18,1.15,1.19,1.15,1.16,69900,1.16
2015-06-17,1.20,1.20,1.11,1.11,49300,1.11
2015-06-16,1.17,1.19,1.15,1.17,30300,1.17
2015-06-15,1.24,1.24,1.17,1.18,23800,1.18
2015-06-12,1.17,1.21,1.17,1.18,14500,1.18
2015-06-11,1.18,1.21,1.18,1.21,5600,1.21
2015-06-10,1.19,1.19,1.15,1.15,23700,1.15
2015-06-09,1.15,1.21,1.15,1.20,38400,1.20
2015-06-08,1.16,1.30,1.15,1.18,23600,1.18
2015-06-05,1.19,1.29,1.14,1.15,34900,1.15
2015-06-04,1.40,1.46,1.19,1.19,85400,1.19
2015-06-03,1.40,1.40,1.30,1.31,21900,1.31
2015-06-02,1.32,1.38,1.31,1.34,66900,1.34
2015-06-01,1.15,1.31,1.15,1.31,79600,1.31
2015-05-29,1.07,1.15,1.07,1.12,35600,1.12
2015-05-28,1.12,1.15,1.09,1.11,14700,1.11
2015-05-27,1.15,1.15,1.12,1.14,16000,1.14
2015-05-26,1.09,1.15,1.07,1.12,49900,1.12
2015-05-22,1.09,1.13,1.09,1.12,24100,1.12
2015-05-21,1.15,1.18,1.09,1.14,60500,1.14
2015-05-20,1.15,1.16,1.08,1.16,23700,1.16
2015-05-19,1.11,1.19,0.99,1.16,52600,1.16
2015-05-18,1.11,1.19,1.11,1.18,64000,1.18
2015-05-15,1.17,1.17,1.11,1.12,26800,1.12
2015-05-14,1.18,1.19,1.10,1.18,26600,1.18
2015-05-13,1.23,1.23,1.13,1.16,18100,1.16
