Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,600.00,603.469971,595.25,600.700012,2089000,600.700012
2015-09-03,617.00,619.710022,602.820984,606.25,1750800,606.25
2015-09-02,605.590027,614.340027,599.710022,614.340027,2573500,614.340027
2015-09-01,602.359985,612.859985,594.099976,597.789978,3680200,597.789978
2015-08-31,627.539978,635.799988,617.679993,618.25,2161200,618.25
2015-08-28,632.820007,636.880005,624.559998,630.380005,1973500,630.380005
2015-08-27,639.400024,643.590027,622.00,637.609985,3481600,637.609985
2015-08-26,610.349976,631.710022,599.049988,628.619995,4177200,628.619995
2015-08-25,614.909973,617.450012,581.109985,582.059998,3510800,582.059998
2015-08-24,573.00,599.330017,565.049988,589.609985,5721500,589.609985
2015-08-21,639.780029,640.049988,612.330017,612.47998,4227300,612.47998
2015-08-20,655.460022,662.98999,642.900024,646.830017,2624600,646.830017
2015-08-19,656.599976,667.00,654.190002,660.900024,2131600,660.900024
2015-08-18,661.900024,664.00,653.460022,656.130005,1452600,656.130005
2015-08-17,656.799988,661.380005,651.23999,660.869995,1047600,660.869995
2015-08-14,655.01001,659.85498,652.659973,657.119995,1069900,657.119995
2015-08-13,659.322021,664.50,651.661011,656.450012,1804800,656.450012
2015-08-12,663.080017,665.00,652.289978,659.559998,2936700,659.559998
2015-08-11,669.200012,674.900024,654.27002,660.780029,5000900,660.780029
2015-08-10,639.47998,643.440002,631.249023,633.72998,1526400,633.72998
2015-08-07,640.22998,642.679993,629.710022,635.299988,1401600,635.299988
2015-08-06,645.00,645.379028,632.25,642.679993,1560300,642.679993
2015-08-05,634.330017,647.859985,633.159973,643.780029,2331200,643.780029
2015-08-04,628.419983,634.809998,627.159973,629.25,1481800,629.25
2015-08-03,625.340027,633.05603,625.340027,631.210022,1300300,631.210022
2015-07-31,631.380005,632.909973,625.50,625.609985,1702400,625.609985
2015-07-30,630.00,635.219971,622.049988,632.590027,1465300,632.590027
2015-07-29,628.799988,633.359985,622.650024,631.929993,1565000,631.929993
2015-07-28,632.830017,632.830017,623.309998,628.00,1704300,628.00
2015-07-27,621.00,634.299988,620.50,627.26001,2668700,627.26001
2015-07-24,647.00,648.169983,622.52002,623.559998,3608400,623.559998
2015-07-23,661.27002,663.630005,641.00,644.280029,3001800,644.280029
2015-07-22,660.890015,678.640015,659.00,662.099976,3689600,662.099976
2015-07-21,655.210022,673.00,654.299988,662.299988,3348400,662.299988
2015-07-20,659.23999,668.880005,653.01001,663.02002,5848800,663.02002
2015-07-17,649.00,674.468018,645.00,672.929993,11134500,672.929993
2015-07-16,565.119995,580.679993,565.00,579.849976,4053900,579.849976
2015-07-15,560.130005,566.502991,556.789978,560.219971,1776600,560.219971
2015-07-14,546.76001,565.848999,546.710022,561.099976,3225100,561.099976
2015-07-13,532.880005,547.109985,532.400024,546.549988,2199800,546.549988
2015-07-10,526.289978,532.559998,525.549988,530.130005,1859900,530.130005
2015-07-09,523.119995,523.77002,520.349976,520.679993,1839400,520.679993
2015-07-08,521.049988,522.734009,516.109985,516.830017,1264600,516.830017
2015-07-07,523.130005,526.179993,515.179993,525.02002,1595700,525.02002
2015-07-06,519.50,525.25,519.00,522.859985,1276500,522.859985
2015-07-02,521.080017,524.650024,521.080017,523.400024,1234000,523.400024
2015-07-01,524.72998,525.690002,518.22998,521.840027,1961000,521.840027
2015-06-30,526.02002,526.25,520.50,520.51001,2217200,520.51001
2015-06-29,525.01001,528.609985,520.539978,521.52002,1930900,521.52002
2015-06-26,537.26001,537.76001,531.349976,531.690002,2011500,531.690002
2015-06-25,538.869995,540.900024,535.22998,535.22998,1331500,535.22998
2015-06-24,540.00,540.00,535.659973,537.840027,1283400,537.840027
2015-06-23,539.640015,541.499023,535.25,540.47998,1196000,540.47998
2015-06-22,539.590027,543.73999,537.530029,538.190002,1242500,538.190002
2015-06-19,537.210022,538.25,533.01001,536.690002,1885700,536.690002
2015-06-18,531.00,538.150024,530.789978,536.72998,1828100,536.72998
2015-06-17,529.369995,530.97998,525.099976,529.26001,1268600,529.26001
2015-06-16,528.400024,529.640015,525.559998,528.150024,1069300,528.150024
2015-06-15,528.00,528.299988,524.00,527.200012,1630700,527.200012
2015-06-12,531.599976,533.119995,530.159973,532.330017,952400,532.330017
2015-06-11,538.424988,538.97998,533.02002,534.609985,1205000,534.609985
2015-06-10,529.359985,538.359985,529.349976,536.690002,1811400,536.690002
2015-06-09,527.559998,529.200012,523.01001,526.690002,1441600,526.690002
2015-06-08,533.309998,534.119995,526.23999,526.830017,1520600,526.830017
2015-06-05,536.349976,537.200012,532.52002,533.330017,1375000,533.330017
2015-06-04,537.76001,540.590027,534.320007,536.700012,1335600,536.700012
2015-06-03,539.909973,543.50,537.109985,540.309998,1714500,540.309998
2015-06-02,532.929993,543.00,531.330017,539.179993,1934700,539.179993
2015-06-01,536.789978,536.789978,529.76001,533.98999,1899600,533.98999
2015-05-29,537.369995,538.630005,531.450012,532.109985,2584900,532.109985
2015-05-28,538.01001,540.609985,536.25,539.780029,1027900,539.780029
2015-05-27,532.799988,540.549988,531.710022,539.789978,1520400,539.789978
2015-05-26,538.119995,539.00,529.880005,532.320007,2403400,532.320007
2015-05-22,540.150024,544.190002,539.51001,540.109985,1173300,540.109985
2015-05-21,537.950012,543.840027,535.97998,542.51001,1461400,542.51001
2015-05-20,538.48999,542.919983,532.971985,539.27002,1429100,539.27002
2015-05-19,533.97998,540.659973,533.039978,537.359985,1963300,537.359985
2015-05-18,532.01001,534.820007,528.849976,532.299988,1998600,532.299988
2015-05-15,539.179993,539.273987,530.380005,533.849976,1962700,533.849976
2015-05-14,533.77002,539.00,532.409973,538.400024,1399100,538.400024
2015-05-13,530.559998,534.322021,528.655029,529.619995,1252300,529.619995
2015-05-12,531.599976,533.208984,525.26001,529.039978,1625400,529.039978
2015-05-11,538.369995,541.97998,535.400024,535.700012,905300,535.700012
2015-05-08,536.650024,541.150024,525.00,538.219971,1527600,538.219971
2015-05-07,523.98999,533.460022,521.75,530.700012,1546300,530.700012
2015-05-06,531.23999,532.380005,521.085022,524.219971,1567000,524.219971
2015-05-05,538.210022,539.73999,530.390991,530.799988,1383100,530.799988
2015-05-04,538.530029,544.070007,535.059998,540.780029,1308000,540.780029
2015-05-01,538.429993,539.539978,532.099976,537.900024,1768200,537.900024
2015-04-30,547.869995,548.590027,535.049988,537.340027,2082200,537.340027
2015-04-29,550.469971,553.679993,546.905029,549.080017,1698800,549.080017
2015-04-28,554.640015,556.02002,550.366028,553.679993,1491000,553.679993
2015-04-27,563.390015,565.950012,553.200012,555.369995,2398000,555.369995
2015-04-24,566.102522,571.14259,557.252507,565.062561,4932500,565.062561
2015-04-23,541.002435,550.96249,540.23244,547.002472,4184900,547.002472
2015-04-22,534.402426,541.082489,531.752397,539.367458,1593600,539.367458
2015-04-21,537.512456,539.392429,533.677415,533.972413,1844800,533.972413
2015-04-20,525.602352,536.092424,524.50235,535.382408,1679300,535.382408
2015-04-17,528.662379,529.842435,521.012371,524.052386,2144100,524.052386
2015-04-16,529.902414,535.592457,529.612373,533.802391,1299900,533.802391
2015-04-15,528.702406,534.732432,523.22235,532.532429,2318800,532.532429
2015-04-14,536.252409,537.572435,528.094354,530.392405,2604100,530.392405
2015-04-13,538.412385,544.062463,537.312445,539.172404,1645300,539.172404
2015-04-10,542.292411,542.292411,537.312445,540.012477,1409500,540.012477
2015-04-09,541.032486,541.95249,535.49239,540.782472,1557900,540.782472
2015-04-08,538.382457,543.852415,538.382457,541.612446,1178500,541.612446
2015-04-07,538.08244,542.692434,536.002395,537.022465,1302900,537.022465
2015-04-06,532.222375,538.412385,529.572407,536.767432,1324400,536.767432
2015-04-02,540.852427,540.852427,533.849395,535.532478,1716400,535.532478
2015-04-01,548.602441,551.142488,539.502472,542.562439,1963100,542.562439
2015-03-31,550.00246,554.712521,546.722468,548.002468,1588000,548.002468
2015-03-30,551.622503,553.472487,548.17249,552.032502,1287500,552.032502
2015-03-27,553.002509,555.282565,548.132463,548.342512,1897500,548.342512
2015-03-26,557.59255,558.90254,550.652497,555.172522,1572600,555.172522
2015-03-25,570.50259,572.262605,558.742494,558.787478,2152300,558.787478
2015-03-24,562.562541,574.592603,561.212586,570.192597,2583300,570.192597
2015-03-23,560.432554,562.362529,555.832536,558.81251,1643800,558.81251
2015-03-20,561.652574,561.722529,559.052548,560.362537,2616900,560.362537
2015-03-19,559.392531,560.802526,556.147548,557.992512,1197300,557.992512
2015-03-18,552.50248,559.782578,547.002472,559.502513,2134500,559.502513
2015-03-17,551.712533,553.802493,548.002468,550.842532,1805500,550.842532
2015-03-16,550.952514,556.852484,546.002476,554.512509,1641000,554.512509
2015-03-13,553.502537,558.402572,544.222448,547.322503,1703600,547.322503
2015-03-12,553.512513,556.37253,550.462523,555.512505,1389600,555.512505
2015-03-11,555.142533,558.142521,550.682486,551.182515,1820800,551.182515
2015-03-10,564.252539,564.852512,554.732473,555.012538,1792300,555.012538
2015-03-09,566.862541,570.272589,563.537504,568.852557,1062100,568.852557
2015-03-06,574.882583,576.682625,566.762597,567.687558,1659100,567.687558
2015-03-05,575.022616,577.912621,573.412548,575.332609,1389600,575.332609
2015-03-04,571.872558,577.112576,568.012607,573.372583,1876800,573.372583
2015-03-03,570.452587,575.392649,566.522559,573.64261,1704800,573.64261
2015-03-02,560.532559,572.152623,558.752531,571.342601,2129600,571.342601
2015-02-27,554.242482,564.712602,552.902503,558.402572,2410200,558.402572
2015-02-26,543.212476,556.142529,541.502464,555.482516,2311500,555.482516
2015-02-25,535.90245,546.22244,535.447406,543.872489,1826000,543.872489
2015-02-24,530.002419,536.792403,528.252381,536.092424,1005100,536.092424
2015-02-23,536.052398,536.441465,529.412361,531.912381,1457900,531.912381
2015-02-20,543.132484,543.75247,535.802444,538.952441,1444400,538.952441
2015-02-19,538.042413,543.11247,538.012424,542.872432,989100,542.872432
2015-02-18,541.402458,545.492471,537.512456,539.702422,1453100,539.702422
2015-02-17,546.832511,550.00246,541.092465,542.842504,1616800,542.842504
2015-02-13,543.352447,549.912491,543.132484,549.012501,1900300,549.012501
2015-02-12,537.252405,544.822482,534.675391,542.932472,1620200,542.932472
2015-02-11,535.302416,538.452473,533.380397,535.972405,1377800,535.972405
2015-02-10,529.302379,537.702431,526.922378,536.942412,1749900,536.942412
2015-02-09,528.002366,532.002411,526.022388,527.832406,1267800,527.832406
2015-02-06,527.642431,537.202463,526.412373,531.002415,1749400,531.002415
2015-02-05,523.792334,528.502395,522.092359,527.582391,1849800,527.582391
2015-02-04,529.2424,532.67442,521.272361,522.762349,1663700,522.762349
2015-02-03,528.002366,533.40243,523.262377,529.2424,2038700,529.2424
2015-02-02,531.732383,533.002407,518.552316,528.482381,2849800,528.482381
2015-01-30,515.862322,539.872444,515.522339,534.522445,5606400,534.522445
2015-01-29,511.002313,511.092313,501.202274,510.662331,4186400,510.662331
2015-01-28,522.782423,522.992349,510.002318,510.002318,1683800,510.002318
2015-01-27,529.972369,530.702398,518.192381,518.63237,1904000,518.63237
2015-01-26,538.532466,539.002444,529.672413,535.212448,1543700,535.212448
2015-01-23,535.592457,542.172453,533.002407,539.952437,2281700,539.952437
2015-01-22,521.482349,536.332463,519.702382,534.39245,2676900,534.39245
2015-01-21,507.252283,519.282407,506.202315,518.042312,2268700,518.042312
2015-01-20,511.002313,512.502307,506.018277,506.902294,2227900,506.902294
2015-01-16,500.012273,508.1923,500.002267,508.082288,2298300,508.082288
2015-01-15,505.572291,505.682273,497.762267,501.792271,2715800,501.792271
2015-01-14,494.652237,503.232286,493.002234,500.872267,2235700,500.872267
