Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.35,12.49,12.35,12.49,2400,12.241656
2014-12-30,12.55,12.55,12.16,12.16,14900,11.918218
2014-12-29,12.40,12.62,12.40,12.50,5200,12.251458
2014-12-26,12.30,12.60,12.20,12.50,6500,12.251458
2014-12-24,12.19,12.19,12.19,12.19,200,11.947621
2014-12-23,12.19,12.30,12.15,12.28,7100,12.035832
2014-12-22,12.41,12.45,11.86,12.27,11300,12.026031
2014-12-19,12.60,12.70,12.50,12.50,9800,12.251458
2014-12-18,12.65,12.70,12.50,12.60,7500,12.34947
2014-12-17,12.61,12.61,12.42,12.50,11700,12.251458
2014-12-16,12.65,12.65,12.56,12.64,2600,12.388674
2014-12-15,12.64,12.75,12.52,12.57,9000,12.320065
2014-12-12,12.66,12.67,12.61,12.61,17400,12.35927
2014-12-11,12.61,12.67,12.60,12.66,9300,12.408276
2014-12-10,12.67,12.67,12.50,12.50,7900,12.251458
2014-12-09,12.65,12.67,12.50,12.55,9000,12.300464
2014-12-08,12.67,12.67,12.60,12.65,20200,12.398475
2014-12-05,12.50,12.60,12.49,12.60,7200,12.34947
2014-12-04,12.50,12.50,12.49,12.50,59900,12.251458
2014-12-03,12.48,12.49,12.36,12.43,5100,12.18285
2014-12-02,12.25,12.49,12.25,12.49,3500,12.241656
2014-12-01,12.35,12.50,12.10,12.26,16700,12.01623
2014-11-28,12.50,12.50,12.35,12.35,6400,12.10444
2014-11-26,12.49,12.50,12.43,12.50,33700,12.251458
2014-11-25,12.45,12.50,12.35,12.50,10100,12.251458
2014-11-24,12.39,12.45,12.20,12.45,4100,12.202452
2014-11-21,12.30,12.44,12.25,12.42,4600,12.173048
2014-11-20,12.34,12.34,12.15,12.15,4800,11.908416
2014-11-19,12.50,12.50,12.22,12.43,6200,12.18285
2014-11-18,12.50,12.50,12.32,12.41,28300,12.163247
2014-11-17,12.49,12.49,12.27,12.39,12800,12.143645
2014-11-14,12.25,12.50,12.25,12.49,13000,12.241656
2014-11-13,12.25,12.25,12.16,12.16,1100,11.918218
2014-11-12,12.06,12.25,12.06,12.25,1400,11.928019
2014-11-11,12.14,12.15,12.05,12.15,6600,11.830647
2014-11-10,12.07,12.15,12.07,12.15,2400,11.830647
2014-11-07,12.25,12.25,12.00,12.02,2900,11.704065
2014-11-06,11.86,12.41,11.85,12.00,50500,11.68459
2014-11-05,11.91,11.91,11.80,11.90,10900,11.587218
2014-11-04,11.91,11.97,11.75,11.82,1100,11.509321
2014-11-03,11.99,11.99,11.71,11.97,3300,11.655379
2014-10-31,11.67,11.70,11.45,11.70,16500,11.392475
2014-10-30,11.50,11.50,11.50,11.50,000,11.197732
2014-10-29,11.51,11.65,11.41,11.50,6000,11.197732
2014-10-28,11.50,11.54,11.42,11.53,2800,11.226943
2014-10-27,11.43,11.50,11.43,11.50,400,11.197732
2014-10-24,11.83,11.83,11.51,11.51,27100,11.20747
2014-10-23,11.75,11.75,11.57,11.60,8000,11.295104
2014-10-22,11.76,11.76,11.76,11.76,100,11.450899
2014-10-21,11.83,11.83,11.75,11.77,3300,11.460636
2014-10-20,11.76,11.85,11.76,11.85,1500,11.538533
2014-10-17,11.84,11.85,11.78,11.78,2000,11.470372
2014-10-16,11.75,11.75,11.75,11.75,700,11.441161
2014-10-15,11.75,11.78,11.75,11.78,2100,11.470372
2014-10-14,11.89,11.89,11.89,11.89,500,11.577482
2014-10-13,11.82,11.85,11.76,11.76,4800,11.450899
2014-10-10,11.80,11.97,11.80,11.97,1000,11.655379
2014-10-09,11.80,11.99,11.80,11.99,3100,11.674853
2014-10-08,11.99,11.99,11.79,11.90,8100,11.587218
2014-10-07,11.83,11.99,11.76,11.82,24300,11.509321
2014-10-06,11.74,12.00,11.72,11.97,32500,11.655379
2014-10-03,11.90,12.05,11.90,12.05,700,11.733276
2014-10-02,12.01,12.02,11.90,12.00,10300,11.68459
2014-10-01,12.09,12.09,11.90,12.06,1700,11.743013
2014-09-30,12.06,12.06,12.06,12.06,000,11.743013
2014-09-29,11.80,12.08,11.80,12.06,2100,11.743013
2014-09-26,12.00,12.11,10.92,11.91,16200,11.596956
2014-09-25,12.06,12.10,12.00,12.00,6200,11.68459
2014-09-24,12.11,12.11,12.11,12.11,500,11.791699
2014-09-23,12.13,12.13,12.13,12.13,000,11.811173
2014-09-22,12.00,12.15,12.00,12.13,2500,11.811173
2014-09-19,12.10,12.25,12.10,12.10,7700,11.781962
2014-09-18,12.10,12.30,12.10,12.25,3500,11.928019
2014-09-17,12.13,12.25,12.13,12.25,700,11.928019
2014-09-16,12.34,12.34,12.15,12.15,2700,11.830647
2014-09-15,12.42,12.42,12.17,12.17,2300,11.850122
2014-09-12,12.67,12.67,12.20,12.51,3900,12.181185
2014-09-11,12.64,12.67,12.46,12.67,2000,12.33698
2014-09-10,12.64,12.66,12.59,12.66,29600,12.327242
2014-09-09,12.40,12.56,12.40,12.56,4900,12.229871
2014-09-08,12.45,12.53,12.40,12.52,3700,12.190923
2014-09-05,12.50,12.50,12.47,12.47,700,12.142237
2014-09-04,12.01,12.42,12.01,12.40,4700,12.074076
2014-09-03,12.50,12.63,12.48,12.63,2000,12.298031
2014-09-02,12.67,12.67,12.45,12.47,11000,12.142237
2014-08-29,12.41,12.66,12.41,12.66,29000,12.327242
2014-08-28,12.41,12.41,12.30,12.35,5800,12.025391
2014-08-27,12.35,12.37,12.22,12.34,4900,12.015654
2014-08-26,12.37,12.37,12.37,12.37,200,12.044865
2014-08-25,12.38,12.44,11.97,12.44,1400,12.113025
2014-08-22,12.39,12.39,12.35,12.35,2400,12.025391
2014-08-21,12.40,12.45,12.36,12.36,3800,12.035127
2014-08-20,12.50,12.50,12.48,12.50,8200,12.171448
2014-08-19,12.50,12.50,12.50,12.50,1100,12.171448
2014-08-18,12.50,12.50,12.10,12.37,17100,12.044865
2014-08-15,11.97,12.50,11.97,12.50,57400,12.171448
2014-08-14,12.25,12.25,12.01,12.25,5200,11.928019
2014-08-13,12.25,12.25,12.22,12.25,1800,11.928019
2014-08-12,12.25,12.25,12.06,12.10,13200,11.781962
2014-08-11,12.25,12.25,12.06,12.25,10600,11.928019
2014-08-08,12.25,12.25,11.96,12.20,1800,11.879333
2014-08-07,12.07,12.24,12.00,12.04,5000,11.645641
2014-08-06,12.07,12.21,12.06,12.13,3200,11.732693
2014-08-05,12.01,12.24,12.01,12.20,2700,11.8004
2014-08-04,12.17,12.20,12.17,12.20,400,11.8004
2014-08-01,12.25,12.25,12.20,12.25,1400,11.848763
2014-07-31,12.24,12.28,12.20,12.20,2900,11.8004
2014-07-30,12.33,12.35,12.20,12.20,1100,11.8004
2014-07-29,12.21,12.29,12.20,12.29,1000,11.887453
2014-07-28,12.20,12.23,12.19,12.23,1200,11.829417
2014-07-25,12.25,12.25,12.25,12.25,1600,11.848763
2014-07-24,12.26,12.35,12.26,12.30,1500,11.897125
2014-07-23,12.34,12.40,12.26,12.37,6200,11.964832
2014-07-22,12.42,12.42,12.42,12.42,800,12.013195
2014-07-21,12.01,12.40,12.01,12.25,700,11.848763
2014-07-18,12.47,12.47,12.21,12.31,1600,11.906798
2014-07-17,12.24,12.24,12.24,12.24,000,11.83909
2014-07-16,12.48,12.48,12.01,12.24,28100,11.83909
2014-07-15,12.25,12.25,12.25,12.25,100,11.848763
2014-07-14,12.39,12.39,12.30,12.39,1400,11.984177
2014-07-11,12.40,12.40,12.37,12.37,1800,11.964832
2014-07-10,12.10,12.43,12.10,12.43,2400,12.022867
2014-07-09,12.37,12.37,12.31,12.31,700,11.906798
2014-07-08,12.20,12.36,12.11,12.36,5800,11.955159
2014-07-07,12.50,12.50,12.21,12.24,4200,11.83909
2014-07-03,12.46,12.46,12.46,12.46,300,12.051884
2014-07-02,12.67,12.67,12.43,12.50,11100,12.090574
2014-07-01,12.61,12.62,12.43,12.43,1200,12.022867
2014-06-30,12.90,12.90,12.04,12.53,33400,12.119591
2014-06-27,12.65,13.06,12.60,12.79,46300,12.371075
2014-06-26,12.66,12.75,12.46,12.75,3700,12.332386
2014-06-25,12.20,12.20,12.20,12.20,000,11.8004
2014-06-24,12.59,12.75,12.20,12.20,2400,11.8004
