Date,Open,High,Low,Close,Volume,Adj Close
2015-03-16,36.735,36.76,36.73,36.74,226200,36.74
2015-03-13,36.72,36.75,36.72,36.74,630900,36.74
2015-03-12,36.69,36.71,36.66,36.70,196300,36.70
2015-03-11,36.68,36.70,36.49,36.67,262600,36.67
2015-03-10,36.73,36.74,36.67,36.68,648400,36.68
2015-03-09,36.705,36.73,36.69,36.72,129400,36.72
2015-03-06,36.68,36.72,36.67,36.68,135500,36.68
2015-03-05,36.73,36.74,36.67,36.68,142200,36.68
2015-03-04,36.70,36.71,36.68,36.68,282200,36.68
2015-03-03,36.72,36.73,36.70,36.70,170900,36.70
2015-03-02,36.71,36.79,36.70,36.72,249500,36.72
2015-02-27,36.70,36.74,36.70,36.70,102100,36.70
2015-02-26,36.70,36.74,36.70,36.72,83900,36.72
2015-02-25,36.75,36.75,36.67,36.72,136600,36.72
2015-02-24,36.76,36.80,36.70,36.75,155100,36.75
2015-02-23,36.71,36.80,36.67,36.79,320100,36.79
2015-02-20,36.70,36.72,36.61,36.69,284300,36.69
2015-02-19,36.70,36.74,36.64,36.66,246100,36.66
2015-02-18,36.75,36.77,36.67,36.77,340500,36.77
2015-02-17,36.708,36.81,36.67,36.70,287600,36.70
2015-02-16,36.72,36.72,36.72,36.72,000,36.72
2015-02-13,36.723,36.78,36.66,36.72,155000,36.72
2015-02-12,36.70,36.74,36.67,36.67,312700,36.67
2015-02-11,36.78,36.78,36.68,36.70,253100,36.70
2015-02-10,36.81,36.84,36.69,36.73,79400,36.73
2015-02-09,36.70,36.77,36.68,36.73,365900,36.73
2015-02-06,36.71,36.845,36.68,36.69,158000,36.69
2015-02-05,36.75,36.85,36.69,36.72,122800,36.72
2015-02-04,36.71,36.88,36.70,36.75,161800,36.75
2015-02-03,36.74,36.84,36.71,36.77,245300,36.77
2015-02-02,36.90,36.90,36.70,36.74,447100,36.74
2015-01-30,37.00,37.00,36.75,36.90,414900,36.90
2015-01-29,36.80,37.115,36.74,37.07,313900,37.07
2015-01-28,36.75,36.90,36.73,36.75,249400,36.75
2015-01-27,36.72,36.86,36.72,36.75,202200,36.75
2015-01-26,36.78,36.87,36.75,36.75,176100,36.75
2015-01-23,36.78,36.9499,36.75,36.78,149300,36.78
2015-01-22,36.81,36.95,36.74,36.80,221900,36.80
2015-01-21,36.71,36.84,36.71,36.75,454100,36.75
2015-01-20,36.99,36.99,36.70,36.70,201200,36.70
2015-01-19,37.01,37.01,37.01,37.01,000,37.01
2015-01-16,36.80,37.01,36.72,37.01,287300,37.01
2015-01-15,36.79,36.83,36.70,36.71,278000,36.71
2015-01-14,36.70,37.13,36.70,36.75,659900,36.75
2015-01-13,36.83,36.98,36.72,36.80,635500,36.80
2015-01-12,36.88,37.09,36.75,36.76,202000,36.76
2015-01-09,36.73,36.89,36.70,36.71,431800,36.71
2015-01-08,36.98,36.98,36.69,36.73,611600,36.73
2015-01-07,37.04,37.04,36.66,36.75,415000,36.75
2015-01-06,37.00,37.00,36.66,36.68,513000,36.68
2015-01-05,36.88,37.09,36.50,36.75,471100,36.75
2015-01-02,37.00,37.206,36.54,36.60,617600,36.60
2015-01-01,37.06,37.06,37.06,37.06,000,37.06
