Date,Open,High,Low,Close,Volume,Adj Close
2014-12-15,10.37,10.37,10.34,10.35,1762000,10.35
2014-12-12,10.35,10.37,10.34,10.34,2499400,10.34
2014-12-11,10.35,10.37,10.34,10.34,1924700,10.34
2014-12-10,10.34,10.35,10.335,10.34,3000500,10.34
2014-12-09,10.34,10.35,10.32,10.34,6429200,10.34
2014-12-08,10.35,10.38,10.30,10.30,19198700,10.30
2014-12-05,10.35,10.37,10.34,10.36,918400,10.36
2014-12-04,10.36,10.37,10.34,10.35,1032600,10.35
2014-12-03,10.35,10.37,10.35,10.35,994300,10.35
2014-12-02,10.35,10.38,10.32,10.34,2248700,10.34
2014-12-01,10.33,10.36,10.32,10.35,1077700,10.35
2014-11-28,10.32,10.35,10.31,10.32,588500,10.32
2014-11-27,10.29,10.29,10.29,10.29,000,10.29
2014-11-26,10.29,10.35,10.28,10.29,1665700,10.29
2014-11-25,10.32,10.34,10.28,10.29,3889400,10.29
2014-11-24,10.28,10.34,10.26,10.33,770400,10.33
2014-11-21,10.30,10.31,10.26,10.26,1683000,10.26
2014-11-20,10.20,10.29,10.18,10.27,5186500,10.27
2014-11-19,10.16,10.18,10.125,10.16,4683700,10.16
2014-11-18,10.18,10.20,10.16,10.16,4984100,10.16
2014-11-17,10.17,10.20,10.16,10.16,8777000,10.16
2014-11-14,10.17,10.19,10.17,10.17,1940800,10.17
2014-11-13,10.18,10.19,10.16,10.165,1927600,10.165
2014-11-12,10.185,10.19,10.18,10.19,1177400,10.19
2014-11-11,10.175,10.19,10.17,10.19,1026700,10.19
2014-11-10,10.19,10.19,10.16,10.17,1236000,10.17
2014-11-07,10.19,10.19,10.17,10.18,831200,10.18
2014-11-06,10.25,10.25,10.17,10.19,1116400,10.19
2014-11-05,10.19,10.28,10.16,10.18,2088300,10.18
2014-11-04,10.10,10.16,10.10,10.14,1004200,10.14
2014-11-03,10.11,10.15,10.09,10.15,1270800,10.15
2014-10-31,10.20,10.20,10.10,10.15,1793000,10.15
2014-10-30,10.11,10.12,10.06,10.10,1541300,10.10
2014-10-29,10.0825,10.15,10.0825,10.13,1270600,10.13
2014-10-28,10.10,10.12,10.09,10.11,2123200,10.11
2014-10-27,10.02,10.11,10.02,10.09,1315500,10.09
2014-10-24,10.10,10.19,9.99,10.04,944600,10.04
2014-10-23,9.99,10.01,9.92,9.97,2619800,9.97
2014-10-22,9.925,10.03,9.925,9.93,2703300,9.93
2014-10-21,9.89,10.00,9.87,9.95,2165500,9.95
2014-10-20,9.88,9.91,9.84,9.87,2054000,9.87
2014-10-17,9.99,9.99,9.85,9.86,3541600,9.86
2014-10-16,10.00,10.02,9.74,9.995,4181800,9.995
2014-10-15,9.82387,9.83347,9.55499,9.69903,5058900,9.69903
2014-10-14,9.88149,9.94871,9.79506,9.9007,3129700,9.9007
2014-10-13,9.99673,10.0062,9.75665,9.86228,6074000,9.86228
2014-10-10,9.98712,10.1408,9.96792,9.97752,3199400,9.97752
2014-10-09,10.1936,10.2032,10.0543,10.0928,3350400,10.0928
