Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,7.06,7.28,6.99,7.25,1454800,7.25
2015-09-03,6.89,7.25,6.87,7.22,2457600,7.22
2015-09-02,6.63,6.98,6.39,6.96,2555900,6.96
2015-09-01,6.76,6.92,6.58,6.60,1493200,6.60
2015-08-31,6.92,7.01,6.85,6.92,1400000,6.92
2015-08-28,6.82,7.07,6.81,6.88,1394900,6.88
2015-08-27,6.45,6.75,6.45,6.74,1133600,6.74
2015-08-26,6.41,6.48,6.21,6.45,1121500,6.45
2015-08-25,6.25,6.43,6.25,6.36,930000,6.36
2015-08-24,5.95,6.41,5.65,6.09,1958500,6.09
2015-08-21,6.47,6.49,6.26,6.31,1928800,6.31
2015-08-20,6.70,6.86,6.51,6.54,3010100,6.54
2015-08-19,6.74,6.82,6.61,6.71,1798900,6.71
2015-08-18,6.82,6.91,6.76,6.80,1769800,6.80
2015-08-17,6.71,6.92,6.71,6.88,1262600,6.88
2015-08-14,6.78,6.84,6.71,6.81,1219700,6.81
2015-08-13,6.72,6.94,6.66,6.78,1309500,6.78
2015-08-12,6.66,6.81,6.51,6.76,1944400,6.76
2015-08-11,6.51,6.94,6.50,6.80,2388700,6.80
2015-08-10,7.01,7.03,6.43,6.56,5861100,6.56
2015-08-07,6.40,7.45,6.38,7.08,5590100,7.08
2015-08-06,6.66,6.79,6.63,6.76,1405400,6.76
2015-08-05,6.89,6.98,6.63,6.70,3090500,6.70
2015-08-04,7.16,7.16,6.87,6.90,2579400,6.90
2015-08-03,7.09,7.23,6.85,7.19,2001700,7.19
2015-07-31,7.28,7.49,7.11,7.20,1744100,7.20
2015-07-30,7.36,7.42,7.20,7.29,1965000,7.29
2015-07-29,7.55,7.59,7.40,7.40,1080700,7.40
2015-07-28,7.48,7.61,7.44,7.53,1313500,7.53
2015-07-27,7.62,7.66,7.40,7.47,1608000,7.47
2015-07-24,7.84,7.96,7.70,7.70,1251600,7.70
2015-07-23,7.80,8.04,7.80,7.88,1127000,7.88
2015-07-22,8.00,8.04,7.73,7.90,2136100,7.90
2015-07-21,8.01,8.19,8.01,8.11,1468900,8.11
2015-07-20,8.32,8.35,8.03,8.03,1506300,8.03
2015-07-17,8.41,8.50,8.33,8.35,1307800,8.35
2015-07-16,8.21,8.40,8.21,8.40,1447600,8.40
2015-07-15,8.41,8.49,8.22,8.23,1860200,8.23
2015-07-14,8.33,8.47,8.28,8.41,1535900,8.41
2015-07-13,8.53,8.56,8.22,8.42,2630000,8.42
2015-07-10,8.63,8.70,8.42,8.53,2392000,8.53
2015-07-09,8.52,8.76,8.43,8.58,3790800,8.58
2015-07-08,8.38,8.70,8.26,8.47,4910600,8.47
2015-07-07,8.22,8.60,8.14,8.52,6723300,8.52
2015-07-06,7.84,7.93,7.65,7.77,2861800,7.77
2015-07-02,7.93,8.17,7.85,8.12,2877800,8.12
2015-07-01,8.10,8.23,7.86,7.89,1884100,7.89
2015-06-30,7.95,8.13,7.94,8.03,1720300,8.03
2015-06-29,8.00,8.05,7.80,7.90,2506000,7.90
2015-06-26,8.25,8.30,8.01,8.06,1392300,8.06
2015-06-25,8.15,8.57,8.14,8.26,2992700,8.26
2015-06-24,8.35,8.37,7.98,8.14,3087400,8.14
2015-06-23,8.42,8.63,8.20,8.58,3954500,8.28
2015-06-22,8.58,8.66,8.42,8.48,2114800,8.183496
2015-06-19,8.64,8.75,8.55,8.58,2318200,8.28
2015-06-18,8.75,8.80,8.48,8.74,4231900,8.434405
2015-06-17,8.89,8.99,8.68,8.77,4809400,8.463357
2015-06-16,8.14,8.71,8.14,8.60,8514700,8.299301
2015-06-15,7.67,8.21,7.57,8.12,4657500,7.836084
2015-06-12,7.60,8.25,7.58,8.17,8368600,7.884336
2015-06-11,7.80,7.80,7.57,7.62,2441400,7.353566
2015-06-10,7.31,7.74,7.25,7.72,8139300,7.45007
2015-06-09,7.11,7.14,6.85,6.98,3485300,6.735944
2015-06-08,7.14,7.28,7.12,7.13,3056500,6.880699
2015-06-05,7.02,7.13,6.92,7.09,3081000,6.842098
2015-06-04,6.95,7.14,6.80,7.01,4485000,6.764895
2015-06-03,6.51,6.99,6.51,6.96,5328800,6.716643
2015-06-02,6.26,6.57,6.26,6.51,2134200,6.282378
2015-06-01,6.34,6.37,6.17,6.26,2174900,6.041119
2015-05-29,6.30,6.30,6.10,6.26,4263700,6.041119
2015-05-28,6.54,6.60,6.47,6.53,1649200,6.301679
2015-05-27,6.47,6.64,6.40,6.59,1254900,6.359581
2015-05-26,6.59,6.59,6.42,6.50,2662400,6.272727
2015-05-22,6.35,6.70,6.35,6.67,4475600,6.436783
2015-05-21,6.44,6.47,6.22,6.32,2496000,6.099021
2015-05-20,6.30,6.52,6.29,6.42,4511400,6.195525
2015-05-19,6.28,6.33,6.12,6.15,1619900,5.934965
2015-05-18,6.10,6.38,6.05,6.27,3038400,6.050769
2015-05-15,6.46,6.47,6.10,6.14,3473600,5.925315
2015-05-14,5.85,6.52,5.85,6.46,5697100,6.234126
2015-05-13,6.17,6.23,6.13,6.15,1345700,5.934965
2015-05-12,6.16,6.30,6.01,6.15,2672700,5.934965
2015-05-11,6.17,6.34,6.09,6.23,2747200,6.012168
2015-05-08,6.00,6.10,6.00,6.05,1359500,5.838462
2015-05-07,6.05,6.14,5.92,6.00,1924600,5.79021
2015-05-06,6.16,6.16,6.01,6.06,1205300,5.848112
2015-05-05,6.12,6.17,6.00,6.12,1482000,5.906014
2015-05-04,6.21,6.28,6.13,6.15,1214500,5.934965
2015-05-01,6.10,6.29,6.10,6.22,1629800,6.002517
2015-04-30,6.08,6.17,6.05,6.12,1247300,5.906014
2015-04-29,6.13,6.22,6.08,6.11,1661100,5.896364
2015-04-28,6.15,6.23,6.10,6.18,1169900,5.963916
2015-04-27,6.28,6.37,6.13,6.16,1750700,5.944615
2015-04-24,6.25,6.33,6.18,6.22,1648700,6.002517
2015-04-23,6.30,6.37,6.21,6.26,1615000,6.041119
2015-04-22,6.14,6.31,6.13,6.31,2232100,6.089371
2015-04-21,6.20,6.27,6.07,6.13,2095400,5.915664
2015-04-20,6.20,6.29,6.13,6.21,1754900,5.992867
2015-04-17,6.28,6.30,6.12,6.18,2156600,5.963916
2015-04-16,6.32,6.36,6.23,6.31,1679400,6.089371
2015-04-15,6.33,6.42,6.31,6.33,2306000,6.108671
2015-04-14,6.35,6.44,6.28,6.35,1177600,6.127972
2015-04-13,6.33,6.43,6.30,6.34,1123400,6.118322
2015-04-10,6.30,6.43,6.22,6.34,1582900,6.118322
2015-04-09,6.36,6.47,6.27,6.40,1248900,6.176224
2015-04-08,6.22,6.45,6.19,6.30,1875100,6.07972
2015-04-07,6.30,6.45,6.20,6.21,2329300,5.992867
2015-04-06,6.18,6.29,6.11,6.28,1563400,6.06042
2015-04-02,6.32,6.40,6.11,6.14,3275700,5.925315
2015-04-01,6.30,6.39,6.25,6.35,1357600,6.127972
2015-03-31,6.38,6.41,6.27,6.33,2059000,6.108671
2015-03-30,6.54,6.63,6.40,6.44,2421000,6.214825
2015-03-27,6.54,6.65,6.50,6.60,1240700,6.369231
2015-03-26,6.60,6.65,6.41,6.57,1999500,6.34028
2015-03-25,6.77,6.95,6.65,6.65,3096700,6.417483
2015-03-24,6.84,7.05,6.83,6.84,2237200,6.600839
2015-03-23,6.82,6.87,6.74,6.84,2165500,6.600839
2015-03-20,6.84,6.90,6.79,6.85,1548800,6.610489
2015-03-19,6.74,6.95,6.74,6.84,1914500,6.600839
2015-03-18,6.71,6.90,6.65,6.78,3280300,6.542937
2015-03-17,7.26,7.26,6.71,6.74,11336000,6.504335
2015-03-16,8.00,8.16,7.31,7.47,8069800,7.208811
2015-03-13,7.85,7.99,7.70,7.98,2157200,7.700979
2015-03-12,7.78,7.92,7.68,7.85,2369500,7.575524
2015-03-11,7.50,7.83,7.49,7.78,3535500,7.507972
2015-03-10,7.27,7.52,7.22,7.52,2909500,7.257063
2015-03-09,7.46,7.58,7.26,7.32,2044900,7.064056
2015-03-06,7.35,7.64,7.30,7.46,2836400,7.199161
2015-03-05,7.55,7.55,7.21,7.29,2522900,7.035105
2015-03-04,7.32,7.60,7.27,7.56,2458600,7.295664
2015-03-03,7.42,7.57,7.29,7.33,5431100,7.073706
2015-03-02,7.26,7.45,7.24,7.39,1819300,7.131608
2015-02-27,7.21,7.33,7.13,7.20,1862800,6.948252
2015-02-26,7.40,7.53,7.21,7.22,1984700,6.967552
2015-02-25,7.24,7.44,7.22,7.38,2269400,7.121958
2015-02-24,7.58,7.61,7.08,7.22,5148800,6.967552
2015-02-23,7.65,7.85,7.46,7.51,3132400,7.247413
2015-02-20,8.01,8.08,7.71,7.75,2351800,7.479021
2015-02-19,7.99,8.13,7.89,8.08,1374700,7.797482
2015-02-18,8.05,8.10,7.90,8.05,1710900,7.768532
2015-02-17,8.05,8.28,7.99,8.14,2485600,7.855385
2015-02-13,7.92,8.12,7.90,8.04,3865400,7.758881
2015-02-12,7.60,8.20,7.50,7.76,6461800,7.488672
2015-02-11,7.85,7.90,7.57,7.66,4090500,7.392168
2015-02-10,7.58,7.94,7.54,7.91,3193200,7.633426
2015-02-09,7.61,7.69,7.48,7.58,2969100,7.314965
2015-02-06,7.85,8.11,7.70,7.94,4398000,7.662378
2015-02-05,8.63,8.75,8.23,8.31,3190400,8.019441
2015-02-04,8.50,8.85,8.46,8.62,3109900,8.318601
2015-02-03,8.63,8.76,8.36,8.58,1617800,8.28
2015-02-02,8.61,8.68,8.21,8.55,2510600,8.251049
2015-01-30,8.61,8.95,8.47,8.58,3174000,8.28
2015-01-29,9.13,9.24,8.50,8.51,6631000,8.212448
2015-01-28,8.88,9.49,8.87,9.26,6923500,8.936224
2015-01-27,8.63,8.93,8.49,8.79,4540600,8.482657
2015-01-26,8.08,8.98,8.08,8.77,9357700,8.463357
2015-01-23,8.04,8.13,7.81,7.98,2452800,7.700979
2015-01-22,7.70,8.02,7.51,8.00,4241100,7.72028
2015-01-21,7.01,7.82,7.00,7.74,5007900,7.46937
2015-01-20,6.98,7.20,6.97,7.06,2249300,6.813147
2015-01-16,7.10,7.25,6.83,7.00,3687400,6.755245
2015-01-15,7.67,7.75,7.02,7.21,3804900,6.957902
2015-01-14,7.79,7.91,7.35,7.60,4615000,7.334266
2015-01-13,7.96,8.08,7.31,7.37,4453000,7.112308
2015-01-12,8.21,8.21,7.85,7.95,1916400,7.672028
2015-01-09,8.15,8.35,8.12,8.19,2941900,7.903636
2015-01-08,8.04,8.32,8.01,8.13,3238900,7.845734
2015-01-07,7.72,8.08,7.72,7.98,2240900,7.700979
2015-01-06,7.89,8.10,7.57,7.62,3693900,7.353566
