Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,8.78,9.22,8.68,9.13,612400,9.13
2015-09-03,8.75,9.00,8.65,8.91,654400,8.91
2015-09-02,8.76,8.90,8.51,8.75,945800,8.75
2015-09-01,9.07,9.10,8.60,8.70,1259800,8.70
2015-08-31,9.04,9.13,8.77,9.00,614700,9.00
2015-08-28,8.66,9.19,8.64,9.14,964100,9.14
2015-08-27,8.88,8.91,8.54,8.68,537800,8.68
2015-08-26,8.34,8.84,8.22,8.78,849100,8.78
2015-08-25,8.33,8.46,8.15,8.18,601900,8.18
2015-08-24,7.75,8.37,7.66,8.02,895700,8.02
2015-08-21,8.42,8.53,8.13,8.17,823400,8.17
2015-08-20,8.84,8.96,8.46,8.54,613100,8.54
2015-08-19,9.07,9.31,8.76,8.90,528300,8.90
2015-08-18,9.27,9.49,8.91,9.13,525100,9.13
2015-08-17,9.27,9.53,9.20,9.24,1182100,9.24
2015-08-14,9.00,9.44,9.00,9.36,524000,9.36
2015-08-13,9.20,9.26,8.97,9.05,826100,9.05
2015-08-12,8.58,9.26,8.42,9.14,1331800,9.14
2015-08-11,8.56,9.00,8.31,8.59,959900,8.59
2015-08-10,8.59,8.66,8.31,8.58,915800,8.58
2015-08-07,8.62,8.66,8.33,8.62,1711500,8.62
2015-08-06,8.36,8.73,8.05,8.71,2684600,8.71
2015-08-05,9.53,10.50,8.25,8.38,6144200,8.38
2015-08-04,14.13,14.30,13.94,14.11,636500,14.11
2015-08-03,15.21,15.22,14.12,14.19,708500,14.19
2015-07-31,15.28,15.52,15.02,15.15,355200,15.15
2015-07-30,15.30,15.64,15.14,15.22,594600,15.22
2015-07-29,15.38,15.54,15.00,15.39,329900,15.39
2015-07-28,15.43,15.50,15.01,15.36,295500,15.36
2015-07-27,15.76,15.85,15.35,15.40,262600,15.40
2015-07-24,16.57,16.629999,15.81,15.96,372400,15.96
2015-07-23,16.76,16.85,16.559999,16.60,286000,16.60
2015-07-22,16.65,16.950001,16.65,16.74,246000,16.74
2015-07-21,16.60,16.879999,16.530001,16.790001,333500,16.790001
2015-07-20,17.209999,17.27,16.58,16.610001,458800,16.610001
2015-07-17,17.15,17.25,17.01,17.139999,279200,17.139999
2015-07-16,17.139999,17.299999,16.85,17.07,275100,17.07
2015-07-15,17.16,17.209999,16.889999,16.90,245400,16.90
2015-07-14,16.860001,17.27,16.860001,17.040001,424700,17.040001
2015-07-13,17.219999,17.309999,17.120001,17.15,275300,17.15
2015-07-10,17.48,17.48,17.049999,17.09,285000,17.09
2015-07-09,17.030001,17.41,17.00,17.24,454200,17.24
2015-07-08,17.01,17.17,16.790001,16.860001,179000,16.860001
2015-07-07,17.09,17.27,16.82,17.18,360900,17.18
2015-07-06,17.25,17.43,17.049999,17.299999,292900,17.299999
2015-07-02,17.200001,17.450001,16.959999,17.33,421000,17.33
2015-07-01,17.98,18.030001,17.25,17.33,724600,17.33
2015-06-30,17.74,17.879999,17.700001,17.83,560300,17.83
2015-06-29,17.860001,18.08,17.57,17.58,470400,17.58
2015-06-26,18.52,18.709999,17.950001,18.02,1497800,18.02
2015-06-25,18.629999,18.75,18.51,18.57,218000,18.57
2015-06-24,18.74,18.799999,18.50,18.639999,387100,18.639999
2015-06-23,18.540001,18.879999,18.540001,18.790001,319700,18.790001
2015-06-22,18.809999,18.870001,18.52,18.620001,363700,18.620001
2015-06-19,18.879999,18.950001,18.530001,18.639999,656400,18.639999
2015-06-18,18.959999,19.040001,18.82,18.85,290300,18.85
2015-06-17,18.75,18.969999,18.73,18.93,546200,18.93
2015-06-16,18.92,19.07,18.68,18.73,365400,18.73
2015-06-15,18.66,19.190001,18.51,18.959999,394700,18.959999
2015-06-12,18.77,19.00,18.50,18.76,328500,18.76
2015-06-11,19.139999,19.33,18.82,18.879999,226200,18.879999
2015-06-10,19.00,19.40,18.950001,19.07,464700,19.07
2015-06-09,19.82,19.860001,18.940001,18.959999,660300,18.959999
2015-06-08,20.08,20.16,19.690001,19.790001,282300,19.790001
2015-06-05,20.030001,20.23,20.00,20.08,438300,20.08
2015-06-04,20.60,20.68,19.950001,20.00,398100,20.00
2015-06-03,20.68,20.99,20.51,20.68,504400,20.68
2015-06-02,20.129999,20.709999,20.059999,20.610001,405100,20.610001
2015-06-01,20.27,20.40,20.02,20.209999,431700,20.209999
2015-05-29,20.540001,20.709999,20.139999,20.16,355700,20.16
2015-05-28,20.790001,21.049999,20.530001,20.58,468600,20.58
2015-05-27,20.629999,20.66,20.290001,20.459999,228500,20.459999
2015-05-26,20.82,20.82,20.35,20.610001,235200,20.610001
2015-05-22,20.889999,20.99,20.75,20.84,210100,20.84
2015-05-21,20.969999,21.00,20.75,20.90,197100,20.90
2015-05-20,21.33,21.33,20.76,20.90,249100,20.90
2015-05-19,21.440001,21.50,20.959999,21.18,531300,21.18
2015-05-18,20.77,21.559999,20.49,21.549999,830900,21.549999
2015-05-15,20.969999,21.040001,20.77,20.77,385200,20.77
2015-05-14,21.030001,21.07,20.73,20.91,319500,20.91
2015-05-13,20.41,21.00,20.26,20.879999,468300,20.879999
2015-05-12,20.26,20.48,19.870001,20.299999,312100,20.299999
2015-05-11,20.049999,20.469999,19.93,20.32,579400,20.32
2015-05-08,20.00,20.190001,19.610001,20.049999,745700,20.049999
2015-05-07,19.549999,20.09,19.50,19.709999,635200,19.709999
2015-05-06,19.98,20.00,18.76,19.629999,1394400,19.629999
2015-05-05,18.01,21.68,17.73,20.09,4144700,20.09
2015-05-04,17.66,18.24,17.17,17.209999,1135500,17.209999
2015-05-01,18.190001,18.610001,17.459999,17.68,778500,17.68
2015-04-30,18.950001,19.07,18.35,18.379999,426800,18.379999
2015-04-29,19.27,19.43,18.82,19.139999,385500,19.139999
2015-04-28,18.809999,19.370001,18.629999,19.34,399300,19.34
