Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,108.970001,110.449997,108.510002,109.269997,49963900,109.269997
2015-09-03,112.489998,112.779999,110.040001,110.370003,52906400,110.370003
2015-09-02,110.230003,112.339996,109.129997,112.339996,61888800,112.339996
2015-09-01,110.150002,111.879997,107.360001,107.720001,76845900,107.720001
2015-08-31,112.029999,114.529999,112.00,112.760002,56229300,112.760002
2015-08-28,112.169998,113.309998,111.540001,113.290001,53164400,113.290001
2015-08-27,112.230003,113.239998,110.019997,112.919998,84616100,112.919998
2015-08-26,107.089996,109.889999,105.050003,109.690002,96774600,109.690002
2015-08-25,111.110001,111.110001,103.50,103.739998,103601600,103.739998
2015-08-24,94.870003,108.800003,92.00,103.120003,162206300,103.120003
2015-08-21,110.43,111.900002,105.650002,105.760002,128275500,105.760002
2015-08-20,114.080002,114.349998,111.629997,112.650002,68501600,112.650002
2015-08-19,116.099998,116.519997,114.68,115.010002,47445700,115.010002
2015-08-18,116.43,117.440002,116.010002,116.50,34560700,116.50
2015-08-17,116.040001,117.650002,115.50,117.160004,40884700,117.160004
2015-08-14,114.32,116.309998,114.010002,115.959999,42929500,115.959999
2015-08-13,116.040001,116.400002,114.540001,115.150002,48535800,115.150002
2015-08-12,112.529999,115.419998,109.629997,115.239998,101217500,115.239998
2015-08-11,117.809998,118.18,113.330002,113.489998,97082800,113.489998
2015-08-10,116.529999,119.989998,116.529999,119.720001,54951600,119.720001
2015-08-07,114.580002,116.25,114.50,115.519997,38670400,115.519997
2015-08-06,115.970001,116.50,114.120003,115.129997,52903000,115.129997
2015-08-05,112.949997,117.440002,112.099998,115.400002,99312600,114.880003
2015-08-04,117.419998,117.699997,113.25,114.639999,124138600,114.123426
2015-08-03,121.50,122.57,117.519997,118.440002,69976000,117.906306
2015-07-31,122.599998,122.639999,120.910004,121.300003,42885000,120.753419
2015-07-30,122.32,122.57,121.709999,122.370003,33628300,121.818597
2015-07-29,123.150002,123.50,122.269997,122.989998,37011700,122.435799
2015-07-28,123.379997,123.910004,122.550003,123.379997,33618100,122.824041
2015-07-27,123.089996,123.610001,122.120003,122.769997,44455500,122.216789
2015-07-24,125.32,125.739998,123.900002,124.50,42162300,123.938997
2015-07-23,126.199997,127.089996,125.059998,125.160004,50999500,124.596026
2015-07-22,121.989998,125.50,121.989998,125.220001,115450600,124.655753
2015-07-21,132.850006,132.919998,130.320007,130.75,76756400,130.160834
2015-07-20,130.970001,132.970001,130.699997,132.070007,58900200,131.474893
2015-07-17,129.080002,129.619995,128.309998,129.619995,46164700,129.035921
2015-07-16,127.739998,128.570007,127.349998,128.509995,36222400,127.930922
2015-07-15,125.720001,127.150002,125.580002,126.82,33649200,126.248542
2015-07-14,126.040001,126.370003,125.040001,125.610001,31768100,125.043995
2015-07-13,125.029999,125.760002,124.32,125.660004,41440500,125.093773
2015-07-10,121.940002,123.849998,121.209999,123.279999,61354500,122.724493
2015-07-09,123.849998,124.059998,119.220001,120.07,77821600,119.528958
2015-07-08,124.480003,124.639999,122.540001,122.57,60761600,122.017693
2015-07-07,125.889999,126.150002,123.769997,125.690002,46946800,125.123637
2015-07-06,124.940002,126.230003,124.849998,126.00,28060400,125.432238
2015-07-02,126.43,126.690002,125.769997,126.440002,27211000,125.870257
2015-07-01,126.900002,126.940002,125.989998,126.599998,30238800,126.029532
2015-06-30,125.57,126.120003,124.860001,125.43,44370700,124.864806
2015-06-29,125.459999,126.470001,124.480003,124.529999,49161400,123.96886
2015-06-26,127.669998,127.989998,126.510002,126.75,44066800,126.178858
2015-06-25,128.860001,129.199997,127.50,127.50,31938100,126.925478
2015-06-24,127.209999,129.800003,127.120003,128.110001,55280900,127.53273
2015-06-23,127.480003,127.610001,126.879997,127.029999,30268900,126.457595
2015-06-22,127.489998,128.059998,127.080002,127.610001,34039300,127.034983
2015-06-19,127.709999,127.82,126.400002,126.599998,54716900,126.029532
2015-06-18,127.230003,128.309998,127.220001,127.879997,35407200,127.303763
2015-06-17,127.720001,127.879997,126.739998,127.300003,32918100,126.726383
2015-06-16,127.029999,127.849998,126.370003,127.599998,31494100,127.025026
2015-06-15,126.099998,127.239998,125.709999,126.919998,43988900,126.34809
2015-06-12,128.190002,128.330002,127.110001,127.169998,36886200,126.596964
2015-06-11,129.179993,130.179993,128.479996,128.589996,35390900,128.010563
2015-06-10,127.919998,129.339996,127.849998,128.880005,39087300,128.299265
2015-06-09,126.699997,128.080002,125.620003,127.419998,56075400,126.845837
2015-06-08,128.899994,129.210007,126.830002,127.800003,52674800,127.22413
2015-06-05,129.50,129.690002,128.360001,128.649994,35626800,128.07029
2015-06-04,129.580002,130.580002,128.910004,129.360001,38450100,128.777098
2015-06-03,130.660004,130.940002,129.899994,130.119995,30889400,129.533668
2015-06-02,129.860001,130.660004,129.320007,129.960007,33667600,129.3744
2015-06-01,130.279999,131.389999,130.050003,130.539993,32112800,129.951773
2015-05-29,131.229996,131.449997,129.899994,130.279999,50884500,129.69295
2015-05-28,131.860001,131.949997,131.100006,131.779999,30733300,131.186191
2015-05-27,130.339996,132.259995,130.050003,132.039993,45833200,131.445014
2015-05-26,132.600006,132.910004,129.119995,129.619995,70697600,129.035921
2015-05-22,131.600006,132.970001,131.399994,132.539993,45596000,131.942761
2015-05-21,130.070007,131.630005,129.830002,131.389999,39730400,130.797949
2015-05-20,130.00,130.979996,129.339996,130.059998,36454900,129.473941
2015-05-19,130.690002,130.880005,129.639999,130.070007,44633200,129.483905
2015-05-18,128.380005,130.720001,128.360001,130.190002,50882900,129.60336
2015-05-15,129.070007,129.490005,128.210007,128.770004,38208000,128.18976
2015-05-14,127.410004,128.949997,127.160004,128.949997,45203500,128.368942
2015-05-13,126.150002,127.190002,125.870003,126.010002,34694200,125.442195
2015-05-12,125.599998,126.879997,124.82,125.870003,48160000,125.302826
2015-05-11,127.389999,127.559998,125.629997,126.32,42035800,125.750795
2015-05-08,126.68,127.620003,126.110001,127.620003,55550400,127.04494
2015-05-07,124.769997,126.080002,124.019997,125.260002,43940900,124.695574
2015-05-06,126.559998,126.75,123.360001,125.010002,72141000,123.929045
2015-05-05,128.149994,128.449997,125.779999,125.800003,49271400,124.712215
2015-05-04,129.50,130.570007,128.259995,128.699997,50988300,127.587133
2015-05-01,126.099998,130.130005,125.300003,128.949997,58512600,127.834971
2015-04-30,128.639999,128.639999,124.580002,125.150002,83195400,124.067834
2015-04-29,130.160004,131.589996,128.300003,128.639999,63386100,127.527654
2015-04-28,134.460007,134.539993,129.570007,130.559998,118924000,129.43105
2015-04-27,132.309998,133.130005,131.149994,132.649994,96954200,131.502974
2015-04-24,130.490005,130.630005,129.229996,130.279999,44525900,129.153472
2015-04-23,128.300003,130.419998,128.139999,129.669998,45770900,128.548746
2015-04-22,126.989998,128.869995,126.32,128.619995,37654500,127.507823
2015-04-21,128.100006,128.199997,126.669998,126.910004,32435100,125.812617
2015-04-20,125.57,128.119995,125.169998,127.599998,47054300,126.496646
2015-04-17,125.550003,126.139999,124.459999,124.75,51957000,123.671291
2015-04-16,126.279999,127.099998,126.110001,126.169998,28369000,125.079011
2015-04-15,126.410004,127.129997,126.010002,126.779999,28970400,125.683737
2015-04-14,127.00,127.290001,125.910004,126.300003,25524600,125.207891
