Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.40,13.75,13.11,13.29,99800,13.29
2014-12-30,13.73,13.73,13.18,13.41,119400,13.41
2014-12-29,14.23,14.34,13.61,13.72,77100,13.72
2014-12-26,13.38,15.00,13.36,14.35,109000,14.35
2014-12-24,13.27,13.66,13.13,13.33,51700,13.33
2014-12-23,12.80,13.50,12.80,13.27,75600,13.27
2014-12-22,13.40,13.88,12.72,12.75,109300,12.75
2014-12-19,13.27,13.80,12.92,13.38,81500,13.38
2014-12-18,13.31,13.70,12.79,13.31,99100,13.31
2014-12-17,11.78,13.09,11.46,12.89,103500,12.89
2014-12-16,10.90,12.02,10.02,11.82,227100,11.82
2014-12-15,12.47,12.57,12.10,12.10,107600,12.10
2014-12-12,12.00,12.92,11.70,12.54,146400,12.54
2014-12-11,13.21,13.70,12.20,12.34,94200,12.34
2014-12-10,13.00,14.00,12.82,13.00,92600,13.00
2014-12-09,12.47,13.84,12.32,13.83,107000,13.83
2014-12-08,13.62,13.72,12.60,12.72,124000,12.72
2014-12-05,13.70,13.85,13.39,13.48,104900,13.48
2014-12-04,13.80,13.93,13.40,13.66,78500,13.66
2014-12-03,12.97,13.66,12.75,13.54,212800,13.54
2014-12-02,12.83,13.99,12.69,13.02,180900,13.02
2014-12-01,14.01,14.20,12.63,12.80,221000,12.80
2014-11-28,15.12,15.12,14.01,14.06,103200,14.06
2014-11-26,15.85,15.90,15.13,15.39,142300,15.39
2014-11-25,15.76,15.91,15.45,15.61,84300,15.61
2014-11-24,16.110001,16.40,15.55,15.67,132200,15.67
2014-11-21,16.01,16.83,15.71,16.139999,215000,16.139999
2014-11-20,15.32,15.69,15.21,15.62,55800,15.62
2014-11-19,16.07,16.07,15.30,15.65,100300,15.65
2014-11-18,14.88,15.50,14.69,15.31,84200,15.31
2014-11-17,14.88,15.32,14.52,14.58,130400,14.58
2014-11-14,15.06,15.06,14.29,14.80,215700,14.80
2014-11-13,15.18,15.18,14.34,15.17,180700,15.17
2014-11-12,14.88,15.84,14.57,15.23,187700,15.23
2014-11-11,16.530001,16.530001,14.77,15.03,248900,15.03
2014-11-10,17.75,17.75,15.29,15.96,507300,15.96
2014-11-07,17.799999,18.299999,17.75,18.139999,128000,18.139999
2014-11-06,18.15,18.610001,17.75,17.91,167000,17.91
2014-11-05,18.780001,19.00,18.02,18.16,133300,18.16
2014-11-04,18.50,18.60,17.98,18.450001,92600,18.450001
2014-11-03,18.389999,18.99,18.040001,18.469999,172000,18.469999
2014-10-31,17.200001,17.790001,17.10,17.700001,137300,17.700001
2014-10-30,16.700001,17.440001,16.51,16.92,61600,16.92
2014-10-29,17.059999,17.120001,16.41,16.93,72200,16.93
2014-10-28,15.50,17.09,15.33,16.950001,120200,16.950001
2014-10-27,15.40,15.52,14.89,15.04,97700,15.04
2014-10-24,15.50,15.70,15.15,15.37,46300,15.37
2014-10-23,15.32,15.79,15.26,15.50,112100,15.50
2014-10-22,15.79,16.200001,15.01,15.13,81600,15.13
2014-10-21,15.00,16.120001,14.85,15.87,111500,15.87
2014-10-20,15.64,16.26,14.83,14.89,120100,14.89
2014-10-17,16.690001,17.10,15.26,15.59,129500,15.59
2014-10-16,14.22,16.290001,13.90,16.280001,149400,16.280001
2014-10-15,14.20,14.70,13.83,14.43,124700,14.43
2014-10-14,14.89,15.36,14.15,14.37,167500,14.37
2014-10-13,15.25,15.46,14.50,14.51,89500,14.51
2014-10-10,15.35,15.38,14.79,15.18,115500,15.18
2014-10-09,15.92,15.92,15.21,15.43,105200,15.43
2014-10-08,14.99,16.120001,14.90,16.02,145200,16.02
2014-10-07,15.96,15.96,14.83,15.03,220700,15.03
2014-10-06,16.82,16.889999,15.83,15.93,92000,15.93
2014-10-03,17.120001,17.41,16.700001,16.870001,65400,16.870001
2014-10-02,16.25,16.870001,15.78,16.780001,98000,16.780001
2014-10-01,16.73,16.799999,16.00,16.32,139800,16.32
2014-09-30,16.959999,17.280001,16.75,16.83,88900,16.83
2014-09-29,17.639999,17.639999,16.92,17.059999,112400,17.059999
2014-09-26,17.10,17.700001,16.799999,17.60,234300,17.60
2014-09-25,18.889999,19.379999,16.879999,16.90,235200,16.90
2014-09-24,19.16,19.52,18.639999,18.99,108600,18.99
2014-09-23,18.459999,19.02,18.200001,18.879999,140600,18.879999
2014-09-22,18.85,19.24,18.18,18.530001,89300,18.530001
2014-09-19,19.549999,19.90,18.559999,19.049999,145800,19.049999
2014-09-18,19.76,20.08,19.41,19.49,99000,19.49
2014-09-17,18.32,19.60,18.23,19.50,112800,19.50
2014-09-16,18.74,18.91,18.209999,18.24,129500,18.24
2014-09-15,20.299999,20.299999,18.620001,18.719999,140600,18.719999
2014-09-12,20.02,20.60,20.02,20.219999,67500,20.219999
2014-09-11,20.120001,20.450001,19.969999,20.209999,93200,20.209999
2014-09-10,19.75,20.200001,19.309999,20.139999,109100,20.139999
2014-09-09,21.00,21.00,19.75,19.93,248800,19.93
2014-09-08,21.85,21.950001,20.90,21.18,88700,21.18
2014-09-05,21.299999,21.85,20.74,21.780001,118600,21.780001
2014-09-04,21.889999,22.299999,21.00,21.17,119700,21.17
2014-09-03,21.860001,22.530001,21.389999,21.969999,143600,21.969999
2014-09-02,21.65,21.98,20.860001,21.540001,106900,21.540001
2014-08-29,20.60,21.66,20.60,21.379999,91500,21.379999
