Date,Open,High,Low,Close,Volume,Adj Close
2015-06-29,3.69,3.69,3.54,3.55,2400,3.55
2015-06-26,3.59,3.75,3.50,3.67,9300,3.67
2015-06-25,3.64,3.64,3.55,3.64,2300,3.64
2015-06-24,3.64,3.64,3.64,3.64,100,3.64
2015-06-23,3.62,3.67,3.55,3.67,23300,3.67
2015-06-22,3.79,3.79,3.62,3.64,9900,3.64
2015-06-19,3.74,3.74,3.67,3.67,5100,3.67
2015-06-18,3.77,3.77,3.66,3.67,36000,3.67
2015-06-17,3.80,3.80,3.70,3.70,9200,3.70
2015-06-16,3.80,3.80,3.80,3.80,000,3.80
2015-06-15,3.80,3.80,3.80,3.80,300,3.80
2015-06-12,3.91,3.95,3.78,3.91,4700,3.91
2015-06-11,3.91,3.91,3.91,3.91,200,3.91
2015-06-10,3.91,3.91,3.79,3.79,2500,3.79
2015-06-09,3.85,3.91,3.85,3.89,5500,3.89
2015-06-08,3.93,3.93,3.79,3.79,3200,3.79
2015-06-05,3.79,3.81,3.79,3.81,400,3.81
2015-06-04,3.81,3.81,3.81,3.81,500,3.81
2015-06-03,3.98,3.98,3.84,3.85,1600,3.85
2015-06-02,3.89,4.00,3.76,3.98,21300,3.98
2015-06-01,3.94,3.94,3.73,3.81,3500,3.81
2015-05-29,3.71,3.87,3.70,3.86,1900,3.86
2015-05-28,3.61,3.94,3.61,3.84,28100,3.84
2015-05-27,3.60,3.79,3.59,3.73,8500,3.73
2015-05-26,3.69,3.69,3.59,3.68,3100,3.68
2015-05-22,3.62,3.69,3.51,3.59,25800,3.59
2015-05-21,3.74,3.74,3.61,3.70,24300,3.70
2015-05-20,4.05,4.10,3.68,3.72,59200,3.72
2015-05-19,3.71,4.29,3.71,4.05,163900,4.05
2015-05-18,3.81,3.82,3.70,3.70,8000,3.70
2015-05-15,3.83,3.83,3.80,3.80,2800,3.80
2015-05-14,3.83,3.91,3.83,3.86,15000,3.86
2015-05-13,3.82,3.82,3.82,3.82,100,3.82
2015-05-12,4.04,4.08,3.95,4.04,8700,4.04
2015-05-11,4.08,4.08,4.05,4.05,2300,4.05
2015-05-08,4.09,4.10,4.08,4.10,700,4.10
2015-05-07,4.00,4.01,4.00,4.00,2800,4.00
2015-05-06,4.00,4.00,3.90,3.98,2200,3.98
2015-05-05,3.95,3.98,3.92,3.98,4200,3.98
2015-05-04,4.00,4.00,3.89,3.99,19800,3.99
2015-05-01,3.99,3.99,3.99,3.99,000,3.99
2015-04-30,3.99,3.99,3.99,3.99,100,3.99
2015-04-29,4.00,4.00,4.00,4.00,000,4.00
2015-04-28,4.00,4.00,4.00,4.00,400,4.00
2015-04-27,4.00,4.00,3.80,3.85,2000,3.85
2015-04-24,4.00,4.00,3.99,4.00,500,4.00
2015-04-23,4.00,4.00,3.98,3.98,500,3.98
2015-04-22,3.98,3.98,3.81,3.82,9500,3.82
2015-04-21,3.86,3.99,3.80,3.99,12000,3.99
2015-04-20,3.88,3.88,3.88,3.88,000,3.88
2015-04-17,3.95,3.95,3.88,3.88,4700,3.88
2015-04-16,3.95,3.95,3.90,3.94,8600,3.94
2015-04-15,4.01,4.01,4.01,4.01,000,4.01
2015-04-14,4.00,4.02,4.00,4.01,10200,4.01
2015-04-13,4.02,4.02,3.98,4.00,6400,4.00
2015-04-10,4.05,4.05,4.02,4.02,2700,4.02
2015-04-09,4.02,4.03,4.01,4.02,3000,4.02
2015-04-08,4.10,4.11,4.02,4.11,500,4.11
2015-04-07,4.02,4.13,4.00,4.13,2900,4.13
2015-04-06,4.02,4.14,4.02,4.14,500,4.14
2015-04-02,4.08,4.14,4.02,4.02,2000,4.02
2015-04-01,4.00,4.15,4.00,4.08,7000,4.08
2015-03-31,3.80,4.11,3.80,4.05,2100,4.05
2015-03-30,4.16,4.16,4.11,4.11,22500,4.11
2015-03-27,3.77,4.27,3.77,4.15,14000,4.15
2015-03-26,4.27,4.27,4.04,4.12,10300,4.12
2015-03-25,4.25,4.25,4.02,4.02,1400,4.02
2015-03-24,4.05,4.25,4.05,4.25,3400,4.25
2015-03-23,3.92,4.06,3.92,4.06,700,4.06
2015-03-20,3.99,4.20,3.98,4.20,5200,4.20
2015-03-19,3.79,3.79,3.79,3.79,200,3.79
2015-03-18,3.92,3.92,3.92,3.92,000,3.92
2015-03-17,3.89,3.95,3.89,3.92,900,3.92
2015-03-16,3.67,3.83,3.67,3.83,1300,3.83
2015-03-13,3.73,3.73,3.73,3.73,100,3.73
2015-03-12,3.65,3.88,3.65,3.87,1300,3.87
2015-03-11,3.77,3.90,3.69,3.69,500,3.69
2015-03-10,3.80,3.80,3.80,3.80,300,3.80
2015-03-09,3.77,3.80,3.77,3.80,400,3.80
2015-03-06,3.90,3.90,3.90,3.90,000,3.90
2015-03-05,3.90,3.90,3.90,3.90,000,3.90
2015-03-04,3.90,3.90,3.90,3.90,000,3.90
2015-03-03,3.79,3.90,3.79,3.90,2000,3.90
2015-03-02,3.70,3.70,3.70,3.70,100,3.70
2015-02-27,3.78,3.78,3.78,3.78,400,3.78
2015-02-26,3.94,3.95,3.92,3.92,2000,3.92
2015-02-25,3.95,3.95,3.95,3.95,000,3.95
2015-02-24,3.95,3.95,3.95,3.95,5000,3.95
2015-02-23,3.91,3.99,3.89,3.92,10100,3.92
2015-02-20,3.91,4.00,3.91,4.00,900,4.00
2015-02-19,3.91,3.99,3.91,3.99,200,3.99
2015-02-18,3.96,3.96,3.96,3.96,000,3.96
2015-02-17,3.95,3.96,3.95,3.96,700,3.96
2015-02-13,3.78,3.95,3.76,3.90,6600,3.90
2015-02-12,3.99,3.99,3.99,3.99,100,3.99
2015-02-11,3.73,4.00,3.73,4.00,2100,4.00
2015-02-10,4.00,4.00,4.00,4.00,600,4.00
2015-02-09,4.00,4.01,3.98,4.00,1300,4.00
2015-02-06,4.00,4.17,3.99,4.15,4400,4.15
2015-02-05,4.00,4.00,3.93,3.93,2500,3.93
2015-02-04,3.97,4.00,3.97,4.00,1100,4.00
2015-02-03,4.00,4.00,4.00,4.00,000,4.00
2015-02-02,4.00,4.00,4.00,4.00,000,4.00
2015-01-30,4.00,4.00,4.00,4.00,2000,4.00
2015-01-29,3.70,4.00,3.68,3.95,36200,3.95
2015-01-28,3.99,4.00,3.99,4.00,600,4.00
2015-01-27,3.82,3.82,3.82,3.82,000,3.82
2015-01-26,3.82,3.82,3.82,3.82,100,3.82
2015-01-23,3.73,3.96,3.73,3.87,500,3.87
2015-01-22,3.73,3.96,3.73,3.85,800,3.85
2015-01-21,3.70,4.00,3.70,3.87,1300,3.87
2015-01-20,3.66,3.70,3.66,3.70,400,3.70
2015-01-16,3.95,3.98,3.72,3.72,2400,3.72
2015-01-15,4.00,4.00,3.93,3.95,3100,3.95
2015-01-14,4.00,4.21,3.74,3.80,22400,3.80
2015-01-13,3.90,3.94,3.90,3.93,300,3.93
2015-01-12,3.91,4.00,3.90,4.00,1300,4.00
2015-01-09,4.21,4.22,3.99,4.00,6100,4.00
2015-01-08,4.00,4.00,3.72,3.93,2600,3.93
2015-01-07,3.65,3.96,3.65,3.90,1500,3.90
2015-01-06,3.72,3.79,3.70,3.78,2600,3.78
2015-01-05,3.66,3.77,3.64,3.76,1100,3.76
2015-01-02,3.64,3.79,3.64,3.79,9100,3.79
